Index	Name	BuffType	EffectType	LifeType	LifeValue	LifeOverlayType	MaxOverLayNum	DisperseNum	DisappearType	AffectPriority	ShowIcon	AtlasId	SpriteName	EffectOnAdd	EffectSkeOnAdd	EffectPosOnAdd	EffectNumOnAdd	EffectOnAttach	EffectDelayOnAttach	EffectSkeOnAttach	EffectPosOnAttach	EffectNumOnAttach	EffectOnDisperse	EffectSkeOnDisperse	EffectNumOnDisperse	EffectOnRemove	EffectSkeOnRemove	EffectNumOnRemove
2001	灵巧	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
2002	追击	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
2003	疾风	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
2004	心眼	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
2005	勇武	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
2006	精准	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
2007	意志	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
2008	蓄力	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
2009	勇武	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
2010	意志	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
2011	灵活	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
2012	疾风	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
3001	智慧	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
3002	反射	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
3003	护甲	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
3004	摄魂	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
3005	心神	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
3006	勇武	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
3007	容器	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
3008	心神	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
3009	勇武	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
3010	强身	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
3011	容器	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
3012	抗魔	0	0	3	1	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
10001	灵力护盾	0	1	3	2	2	1	0	3	1	0	0	0	0	0	0;0;0;	1	900733	1	0	0;0;0;	1	900740	0	1	900740	0	1
10002	铁壁	0	1	3	3	2	1	0	3	1	0	0	0	900726	0	0;0;0;	1	900503	1.5	0	0;0;0;	1	0	0	1	0	0	1
10003	武神附体	0	1	3	3	2	1	0	3	1	0	0	0	0	0	0;0;0;	1	900012	1	0	0;0;0;	1	0	0	1	0	0	1
10004	九霄冲鸣	0	1	3	3	2	1	0	3	1	0	0	0	900446	0	0;0;0;	1	0	1	0	0;0;0;	1	0	0	1	0	0	1
10005	增加暴击	0	1	3	3	2	1	0	3	1	0	0	0	0	0	0;0;0;	1	0	1	0	0;0;0;	1	0	0	1	0	0	1
10006	增加杀气	0	1	3	3	2	1	0	3	1	0	0	0	900443	0	0;0;0;	1	0	1	0	0;0;0;	1	0	0	1	0	0	1
10007	鼓舞	0	1	3	2	2	1	0	3	1	0	0	0	900446	10	0;1;0;	1	0	1	0	0;0;0;	1	0	0	1	0	0	1
10008	杀意	0	1	3	1	2	1	0	3	1	0	0	0	900443	10	0;1;0;	1	0	1	0	0;0;0;	1	0	0	1	0	0	1
10009	低鸣	0	1	3	2	2	1	0	3	1	0	0	0	900444	10	0;1;0;	1	0	1	0	0;0;0;	1	0	0	1	0	0	1
10010	铁壁	0	1	3	1	2	1	0	3	1	0	0	0	900442	10	0;1;0;	1	0	1	0	0;0;0;	1	0	0	1	0	0	1
10011	千年盾	0	1	3	1	2	1	0	3	1	0	0	0	900726	0	0;0;0;	1	900503	1	0	0;0;0;	1	0	0	1	0	0	1
10012	硬化	0	1	3	2	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
10013	粗质皮肤	0	2	3	2	0	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
10014	回避	0	2	3	2	0	1	0	3	1	0	0	0	900444	10	0;1;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
10015	风膜	0	2	3	3	0	1	0	3	1	0	0	0	0	10	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
10016	石头皮肤	0	2	3	99	0	1	0	3	1	0	0	0	0	10	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
10017	浸湿	1	2	3	3	0	1	0	3	1	0	0	0	0	10	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
10018	愈合	0	2	3	99	0	1	0	3	1	0	0	0	0	10	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
10019	蛮力	0	2	3	1	1	3	1	3	1	0	0	0	0	10	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
10020	吸魂	0	2	3	3	0	1	0	3	1	0	0	0	0	10	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
10021	火焰逆袭	0	2	3	3	0	1	0	3	1	0	0	0	0	10	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
10022	火焰护甲	0	2	3	99	0	1	0	3	1	0	0	0	900110	0	0;0;0;	1	900733	1	0	0;0;0;	1	0	0	1	0	0	1
10023	凶兽	0	2	3	3	0	1	0	3	1	0	0	0	0	10	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
10024	灵兽	0	2	3	3	0	1	0	3	1	0	0	0	0	10	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
10025	冰洁陷阱	0	2	3	3	0	1	0	3	1	0	0	0	0	10	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
10026	仙人	0	2	3	3	0	1	0	3	1	0	0	0	0	10	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
10027	激进	0	2	3	3	0	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
10028	虚弱	0	2	3	3	0	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
10029	白骨娘娘-攻击力上升	0	2	3	2	2	1	0	3	1	0	0	0	900446	0	0;3;0;	1	0	0	0	0;0;0;	1	0	0	1	0	0	1
10030	白虹障壁	0	2	3	2	2	1	0	3	1	0	0	0	0	0	0;0;0;	1	0	0	0	0;0;0;	1	0	0	1	0	0	1
10031	击晕	1	1	3	2	2	1	0	3	1	0	0	0	0	0	0;0;0;	1	0	0	0	0;0;0;	1	0	0	1	0	0	1
10032	三头六臂	0	3	3	99	0	1	0	3	1	0	0	0	900519	0	0;0;0;	1	0	0	0	0;0;0;	0	0	0	1	0	0	1
10033	坚韧	0	3	3	3	0	1	0	3	1	0	0	0	900726	0	0;0;0;	1	900503	1	0	0;0;0;	1	0	0	1	0	0	1
10034	金钢不坏	0	3	3	99	0	1	0	3	1	0	0	0	900726	0	0;0;0;	1	0	1	0	0;0;0;	1	0	0	1	0	0	1
20001	灼烧	1	2	3	2	2	1	0	3	1	0	0	0	0	0	0;0;0;	1	900502	1	0	0;0;0;	1	0	0	1	0	0	1
20002	中毒	1	2	3	2	2	1	0	3	1	0	0	0	0	0	0;0;0;	1	900504	1	0	0;0;0;	1	0	0	1	0	0	1
20003	冰冻	1	2	3	2	2	1	0	3	1	0	0	0	0	0	0;0;0;	1	900501	1	0	0;0;0;	1	900430	2	1	900430	0	1
20004	麻痹	1	2	3	2	2	1	0	3	1	0	0	0	0	0	0;0;0;	1	900510	0	2	0;0;0;	1	0	0	1	0	0	1
20005	咒缚术	1	2	3	3	2	1	0	3	1	0	0	0	900738	0	0;0;0;	1	900739	1	0	0;0;0;	1	900740	0	1	900740	0	1
20006	溶甲术	1	2	3	2	2	1	0	3	1	0	0	0	900437	10	0;1;0;	1	0	1	0	0;0;0;	1	0	0	1	0	0	1
20007	僵直	1	2	3	2	2	1	0	3	1	0	0	0	900439	10	0;1;0;	1	0	1	0	0;0;0;	1	0	0	1	0	0	1
21001	三味真火	1	2	3	99	2	1	0	3	1	0	0	0	900110	0	0;0;0;	1	900502	1	0	0;0;0;	0	0	0	1	0	0	1
30001	破甲	1	2	3	1	2	1	0	3	1	0	0	0	900437	1	0;1;0;	1	0	1	0	0;0;0;	1	0	0	1	0	0	1
30002	溶甲	1	2	3	1	2	1	0	3	1	0	0	0	900437	10	0;1;0;	1	0	1	0	0;0;0;	1	0	0	1	0	0	1
30003	威吓	1	2	3	1	2	1	0	3	1	0	0	0	900438	10	0;1;0;	1	0	1	0	0;0;0;	1	0	0	1	0	0	1
30004	宁静	1	2	3	2	2	1	0	3	1	0	0	0	0	0	0;0;0;	1	0	1	0	0;0;0;	1	0	0	1	0	0	1
30005	流血	1	2	3	2	2	1	0	3	1	0	0	0	0	10	0;0;0;	1	900506	1	2	0;0;0;	1	0	0	1	0	0	1
30006	破武	1	2	3	1	2	1	0	3	1	0	0	0	900441	10	0;1;0;	1	0	1	0	0;0;0;	1	0	0	1	0	0	1
30007	致盲	1	2	3	2	2	1	0	3	1	0	0	0	900440	10	0;2;0;	1	900505	0	10	0;1;0;	1	0	0	0	0	0	0
41003	心眼	0	2	3	2	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	0	0	0	1	0	0	1
41005	射足	0	2	3	2	2	1	0	3	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	0	0	0	1	0	0	1
80001	警惕	0	2	3	2	0	1	0	0	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
80002	风之使	0	2	3	2	0	1	0	0	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
80003	粗制皮肤	0	2	3	2	0	1	0	0	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
80004	激进	0	2	3	2	0	1	0	0	1	0	1005	12100004	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
80005	信念	0	2	3	2	0	1	0	0	1	0	1005	12100004	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
80006	岩石身躯	0	2	3	2	0	1	0	0	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
80007	水袭	0	2	3	2	0	1	0	0	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
80008	快速愈合	0	2	3	99	0	1	0	0	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
80009	蛮力	0	2	3	2	0	1	0	0	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
80010	吸魂	0	2	3	2	0	1	0	0	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
80011	火焰逆袭	0	2	3	2	0	1	0	0	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
80012	火焰护甲	0	2	3	2	0	1	0	0	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
80013	凶兽	0	2	3	2	0	1	0	0	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
80014	灵兽	0	2	3	2	0	1	0	0	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
80015	冰洁陷阱	0	2	3	2	0	1	0	0	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
80016	仙人	0	2	3	2	0	1	0	0	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
80017	魔焰	0	2	3	2	0	1	0	0	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
80018	人生娃特质	0	2	3	2	0	1	0	0	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
80019	三头六臂	0	2	3	2	0	1	0	0	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
80020	神威	0	2	3	2	0	1	0	0	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
80021	坚韧	0	3	3	2	0	1	0	0	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
80022	金钢不坏	0	3	3	2	0	1	0	0	1	0	0	0	0	0	0;0;0;	0	0	0	0	0;0;0;	1	0	0	1	0	0	1
90001	测试	1	0	3	3	2	1	0	0	1	0	1005	12100004	900439	0	0;0;0;	1	900504	1	0	0;0;0;	1	0	0	1	0	0	1
90002	测试强化	0	0	4	3	2	1	0	0	1	0	1005	12100004	0	0	0;0;0;	1	0	1	0	0;0;0;	1	0	0	1	0	0	1
100000	被击加杀气 	0	0	3	1	0	1	0	0	1	0	0	0	0	0	0;0;0;	1	0	1	0	0;0;0;	1	0	0	0	0	0	0
100001	好运	0	0	4	30	1	1	0	0	1	1	1005	12100016	0	0	0;0;0;	1	0	1	0	0;0;0;	1	0	0	0	0	0	0
100002	振奋	0	0	4	30	1	1	0	0	1	1	1005	12100015	0	0	0;0;0;	1	0	1	0	0;0;0;	1	0	0	0	0	0	0
100003	锋锐	0	0	4	30	1	1	0	0	1	1	1005	12100018	0	0	0;0;0;	1	0	1	0	0;0;0;	1	0	0	0	0	0	0
100004	沉稳	0	0	4	30	1	1	0	0	1	1	1005	12100019	0	0	0;0;0;	1	0	1	0	0;0;0;	1	0	0	0	0	0	0
100005	精确	0	0	4	30	1	1	0	0	1	1	1005	12100017	0	0	0;0;0;	1	0	1	0	0;0;0;	1	0	0	0	0	0	0
100006	凶狠	0	0	4	30	1	1	0	0	1	1	1005	12100020	0	0	0;0;0;	1	0	1	0	0;0;0;	1	0	0	0	0	0	0
100007	三阳开泰	0	0	4	15	1	1	0	0	1	1	1005	12100012	0	0	0;0;0;	1	0	1	0	0;0;0;	1	0	0	0	0	0	0
100008	大吉大利	0	0	4	15	1	1	0	0	1	1	1005	12100011	0	0	0;0;0;	1	0	1	0	0;0;0;	1	0	0	0	0	0	0
100009	财源滚滚	0	0	4	15	1	1	0	0	1	1	1005	12100010	0	0	0;0;0;	1	0	1	0	0;0;0;	1	0	0	0	0	0	0
