ID	Content	BtnCom	BtnHover	BtnPress	OperType
10006	该玩家不是结婚对象，不能与他离婚	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10007	你需要达到{0}级才可使用好友功能	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10008	添加好友失败！好友名称不能为空或不小于{0}个字符！	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10009	无法将自己添加为好友！	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10010	已将"{0}"移动至黑名单中	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10011	已将"{0}"从黑名单中移除！	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10012	成功添加{0}为好友	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10013	好友数量已达到上限，无法添加好友！	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10014	添加玩家已在黑名单列表中，无法添加好友！	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10015	添加好友失败，好友的等级未达到开启条件	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10016	添加的好友被添加次数已达到上限，无法添加为好友	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10017	已经向对方送上你的祝福	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10018	当前金币{0}，无法赠送1朵鲜花	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10019	当前元宝为{0}个，无法赠送99朵鲜花	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10020	今天赠送鲜花次数已经达到上限	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10021	请选择一位玩家	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10022	添加玩家已在好友列表中，无法添加好友！	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10023	抱歉，删除好友前需要提出解除喜结连理！	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10024	删除ID不存在好友列表中，请报BUG	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10025	该玩家和你是恋人关系，需要解除喜结连理！	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10026	添加玩家已在黑名单列表中！	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10027	黑名单已达到上限，无法添加黑名单	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10028	删除ID不存在黑名单中，请报BUG	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10029	添加名称存在非法字符	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10050	培养失败，今天已无法再培养！	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10051	培养失败，游戏币不足！	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10052	培养失败，元宝不足！	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10053	培养失败，未知错误！	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10054	放生失败, 将装备都卸下才能放生	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10055	宠物不能使用这件装备	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10056	你已拥有了改坐骑	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
10057	亲，该功能暂时未开放噢！	操作提示信息测试	操作提示信息测试	操作提示信息测试	1
20001	引导提示1-1	引导提示1-1	引导提示1-1	引导提示1-1	1
20002	引导提示1-2	引导提示1-2	引导提示1-2	引导提示1-2	1
20003	引导提示1-3	引导提示1-3	引导提示1-3	引导提示1-3	1
20004	引导提示2-1	引导提示2-1	引导提示2-1	引导提示2-1	1
20005	引导提示2-2	引导提示2-2	引导提示2-2	引导提示2-2	1
20006	引导提示2-3	引导提示2-3	引导提示2-3	引导提示2-3	1
20007	引导提示3-1	引导提示3-1	引导提示3-1	引导提示3-1	1
20008	引导提示3-2	引导提示3-2	引导提示3-2	引导提示3-2	1
20009	引导提示3-3	引导提示3-3	引导提示3-3	引导提示3-3	1
20010	引导提示4-1	引导提示4-1	引导提示4-1	引导提示4-1	1
20011	引导提示4-2	引导提示4-2	引导提示4-2	引导提示4-2	1
20012	引导提示4-3	引导提示4-3	引导提示4-3	引导提示4-3	1
20013	引导提示5-1	引导提示5-1	引导提示5-1	引导提示5-1	1
20014	引导提示5-2	引导提示5-2	引导提示5-2	引导提示5-2	1
20015	引导提示5-3	引导提示5-3	引导提示5-3	引导提示5-3	1
20016	引导提示6-1	引导提示6-1	引导提示6-1	引导提示6-1	1
20017	引导提示6-2	引导提示6-2	引导提示6-2	引导提示6-2	1
20018	引导提示6-3	引导提示6-3	引导提示6-3	引导提示6-3	1
20019	引导提示7-1	引导提示7-1	引导提示7-1	引导提示7-1	1
20020	引导提示7-2	引导提示7-2	引导提示7-2	引导提示7-2	1
20021	引导提示7-3	引导提示7-3	引导提示7-3	引导提示7-3	1
