EquipColorLevel	StrengthenLevel	EquipLevel	IsCanStrengthen	MaterialID_2_0	MaterialNum_2_0	MaterialID_2_1	MaterialNum_2_1	Rate	AfterLevel	FailLevel	GameMoney	RealMoney	AttrRate	AppearLevel	SlotNum
1	7	10	0	0	0	0	0	0.9	8	6	700	180	2.2	3	3
1	8	10	0	0	0	0	0	0.75	9	7	800	360	2.4	4	3
1	9	10	0	0	0	0	0	0.6	10	7	900	540	2.7	4	3
1	10	10	0	0	0	0	0	0.5	11	9	1000	0	3	5	3
2	1	10	1	57000	1	0	0	1	2	1	100	20	1	1	3
2	2	10	1	57000	3	0	0	1	3	2	200	40	1.2	1	3
2	3	10	1	57001	3	0	0	1	4	3	300	60	1.4	1	3
2	4	10	1	57001	5	0	0	1	5	4	400	60	1.6	1	3
2	5	10	1	57002	3	0	0	1	6	4	500	120	1.8	2	3
2	6	10	1	57002	5	0	0	1	7	5	600	180	2	2	3
2	7	10	1	57003	3	0	0	0.9	8	6	700	180	2.2	3	3
2	8	10	1	57003	5	0	0	0.75	9	7	800	360	2.4	4	3
2	9	10	1	57004	3	0	0	0.6	10	7	900	540	2.7	4	3
2	10	10	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
3	1	10	1	57000	1	0	0	1	2	1	100	60	1	1	3
3	2	10	1	57000	3	0	0	1	3	2	200	120	1.2	1	3
3	3	10	1	57001	3	0	0	1	4	3	300	180	1.4	1	3
3	4	10	1	57001	5	0	0	1	5	4	400	180	1.6	1	3
3	5	10	1	57002	3	0	0	1	6	4	500	360	1.8	2	3
3	6	10	1	57002	5	0	0	1	7	5	600	540	2	2	3
3	7	10	1	57003	3	0	0	0.9	8	6	700	540	2.2	3	3
3	8	10	1	57003	5	0	0	0.75	9	7	800	1080	2.4	4	3
3	9	10	1	57004	3	0	0	0.6	10	7	900	1620	2.7	4	3
3	10	10	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
4	1	10	1	57000	1	0	0	1	2	1	100	180	1	1	3
4	2	10	1	57000	3	0	0	1	3	2	200	360	1.2	1	3
4	3	10	1	57001	3	0	0	1	4	3	300	540	1.4	1	3
4	4	10	1	57001	5	0	0	1	5	4	400	540	1.6	1	3
4	5	10	1	57002	3	0	0	1	6	4	500	1080	1.8	2	3
4	6	10	1	57002	5	0	0	1	7	5	600	1620	2	2	3
4	7	10	1	57003	3	0	0	0.9	8	6	700	1620	2.2	3	3
4	8	10	1	57003	5	0	0	0.75	9	7	800	3240	2.4	4	3
4	9	10	1	57004	3	0	0	0.6	10	7	900	4860	2.7	4	3
4	10	10	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
5	1	10	1	57000	1	0	0	1	2	1	100	540	1	1	3
5	2	10	1	57000	3	0	0	1	3	2	200	1080	1.2	1	3
5	3	10	1	57001	3	0	0	1	4	3	300	1620	1.4	1	3
5	4	10	1	57001	5	0	0	1	5	4	400	1620	1.6	1	3
5	5	10	1	57002	3	0	0	1	6	4	500	3240	1.8	2	3
5	6	10	1	57002	5	0	0	1	7	5	600	4860	2	2	3
5	7	10	1	57003	3	0	0	0.9	8	6	700	4860	2.2	3	3
5	8	10	1	57003	5	0	0	0.75	9	7	800	9720	2.4	4	3
5	9	10	1	57004	3	0	0	0.6	10	7	900	14580	2.7	4	3
5	10	10	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
6	1	10	1	57000	1	0	0	1	2	1	100	1620	1	1	3
6	2	10	1	57000	3	0	0	1	3	2	200	3240	1.2	1	3
6	3	10	1	57001	3	0	0	1	4	3	300	4860	1.4	1	3
6	4	10	1	57001	5	0	0	1	5	4	400	4860	1.6	1	3
6	5	10	1	57002	3	0	0	1	6	4	500	9720	1.8	2	3
6	6	10	1	57002	5	0	0	1	7	5	600	14580	2	2	3
6	7	10	1	57003	3	0	0	0.9	8	6	700	14580	2.2	3	3
6	8	10	1	57003	5	0	0	0.75	9	7	800	29160	2.4	4	3
6	9	10	1	57004	3	0	0	0.6	10	7	900	43740	2.7	4	3
6	10	10	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
1	1	20	0	0	0	0	0	1	2	1	100	20	1	1	3
1	2	20	0	0	0	0	0	1	3	2	200	40	1.2	1	3
1	3	20	0	0	0	0	0	1	4	3	300	60	1.4	1	3
1	4	20	0	0	0	0	0	1	5	4	400	60	1.6	1	3
1	5	20	0	0	0	0	0	1	6	4	500	120	1.8	2	3
1	6	20	0	0	0	0	0	1	7	5	600	180	2	2	3
1	7	20	0	0	0	0	0	0.9	8	6	700	180	2.2	3	3
1	8	20	0	0	0	0	0	0.75	9	7	800	360	2.4	4	3
1	9	20	0	0	0	0	0	0.6	10	7	900	540	2.7	4	3
1	10	20	0	0	0	0	0	0.5	11	9	1000	0	3	5	3
2	1	20	1	57000	1	0	0	1	2	1	100	20	1	1	3
2	2	20	1	57000	3	0	0	1	3	2	200	40	1.2	1	3
2	3	20	1	57001	3	0	0	1	4	3	300	60	1.4	1	3
2	4	20	1	57001	5	0	0	1	5	4	400	60	1.6	1	3
2	5	20	1	57002	3	0	0	1	6	4	500	120	1.8	2	3
2	6	20	1	57002	5	0	0	1	7	5	600	180	2	2	3
2	7	20	1	57003	3	0	0	0.9	8	6	700	180	2.2	3	3
2	8	20	1	57003	5	0	0	0.75	9	7	800	360	2.4	4	3
2	9	20	1	57004	3	0	0	0.6	10	7	900	540	2.7	4	3
2	10	20	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
3	1	20	1	57000	1	0	0	1	2	1	100	60	1	1	3
3	2	20	1	57000	3	0	0	1	3	2	200	120	1.2	1	3
3	3	20	1	57001	3	0	0	1	4	3	300	180	1.4	1	3
3	4	20	1	57001	5	0	0	1	5	4	400	180	1.6	1	3
3	5	20	1	57002	3	0	0	1	6	4	500	360	1.8	2	3
3	6	20	1	57002	5	0	0	1	7	5	600	540	2	2	3
3	7	20	1	57003	3	0	0	0.9	8	6	700	540	2.2	3	3
3	8	20	1	57003	5	0	0	0.75	9	7	800	1080	2.4	4	3
3	9	20	1	57004	3	0	0	0.6	10	7	900	1620	2.7	4	3
3	10	20	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
4	1	20	1	57000	1	0	0	1	2	1	100	180	1	1	3
4	2	20	1	57000	3	0	0	1	3	2	200	360	1.2	1	3
4	3	20	1	57001	3	0	0	1	4	3	300	540	1.4	1	3
4	4	20	1	57001	5	0	0	1	5	4	400	540	1.6	1	3
4	5	20	1	57002	3	0	0	1	6	4	500	1080	1.8	2	3
4	6	20	1	57002	5	0	0	1	7	5	600	1620	2	2	3
4	7	20	1	57003	3	0	0	0.9	8	6	700	1620	2.2	3	3
4	8	20	1	57003	5	0	0	0.75	9	7	800	3240	2.4	4	3
4	9	20	1	57004	3	0	0	0.6	10	7	900	4860	2.7	4	3
4	10	20	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
5	1	20	1	57000	1	0	0	1	2	1	100	540	1	1	3
5	2	20	1	57000	3	0	0	1	3	2	200	1080	1.2	1	3
5	3	20	1	57001	3	0	0	1	4	3	300	1620	1.4	1	3
5	4	20	1	57001	5	0	0	1	5	4	400	1620	1.6	1	3
5	5	20	1	57002	3	0	0	1	6	4	500	3240	1.8	2	3
5	6	20	1	57002	5	0	0	1	7	5	600	4860	2	2	3
5	7	20	1	57003	3	0	0	0.9	8	6	700	4860	2.2	3	3
5	8	20	1	57003	5	0	0	0.75	9	7	800	9720	2.4	4	3
5	9	20	1	57004	3	0	0	0.6	10	7	900	14580	2.7	4	3
5	10	20	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
6	1	20	1	57000	1	0	0	1	2	1	100	1620	1	1	3
6	2	20	1	57000	3	0	0	1	3	2	200	3240	1.2	1	3
6	3	20	1	57001	3	0	0	1	4	3	300	4860	1.4	1	3
6	4	20	1	57001	5	0	0	1	5	4	400	4860	1.6	1	3
6	5	20	1	57002	3	0	0	1	6	4	500	9720	1.8	2	3
6	6	20	1	57002	5	0	0	1	7	5	600	14580	2	2	3
6	7	20	1	57003	3	0	0	0.9	8	6	700	14580	2.2	3	3
6	8	20	1	57003	5	0	0	0.75	9	7	800	29160	2.4	4	3
6	9	20	1	57004	3	0	0	0.6	10	7	900	43740	2.7	4	3
6	10	20	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
1	1	30	0	0	0	0	0	1	2	1	100	20	1	1	3
1	2	30	0	0	0	0	0	1	3	2	200	40	1.2	1	3
1	3	30	0	0	0	0	0	1	4	3	300	60	1.4	1	3
1	4	30	0	0	0	0	0	1	5	4	400	60	1.6	1	3
1	5	30	0	0	0	0	0	1	6	4	500	120	1.8	2	3
1	6	30	0	0	0	0	0	1	7	5	600	180	2	2	3
1	7	30	0	0	0	0	0	0.9	8	6	700	180	2.2	3	3
1	8	30	0	0	0	0	0	0.75	9	7	800	360	2.4	4	3
1	9	30	0	0	0	0	0	0.6	10	7	900	540	2.7	4	3
1	10	30	0	0	0	0	0	0.5	11	9	1000	0	3	5	3
2	1	30	1	57000	1	0	0	1	2	1	100	20	1	1	3
2	2	30	1	57000	3	0	0	1	3	2	200	40	1.2	1	3
2	3	30	1	57001	3	0	0	1	4	3	300	60	1.4	1	3
2	4	30	1	57001	5	0	0	1	5	4	400	60	1.6	1	3
2	5	30	1	57002	3	0	0	1	6	4	500	120	1.8	2	3
2	6	30	1	57002	5	0	0	1	7	5	600	180	2	2	3
2	7	30	1	57003	3	0	0	0.9	8	6	700	180	2.2	3	3
2	8	30	1	57003	5	0	0	0.75	9	7	800	360	2.4	4	3
2	9	30	1	57004	3	0	0	0.6	10	7	900	540	2.7	4	3
2	10	30	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
3	1	30	1	57000	1	0	0	1	2	1	100	60	1	1	3
3	2	30	1	57000	3	0	0	1	3	2	200	120	1.2	1	3
3	3	30	1	57001	3	0	0	1	4	3	300	180	1.4	1	3
3	4	30	1	57001	5	0	0	1	5	4	400	180	1.6	1	3
3	5	30	1	57002	3	0	0	1	6	4	500	360	1.8	2	3
3	6	30	1	57002	5	0	0	1	7	5	600	540	2	2	3
3	7	30	1	57003	3	0	0	0.9	8	6	700	540	2.2	3	3
3	8	30	1	57003	5	0	0	0.75	9	7	800	1080	2.4	4	3
3	9	30	1	57004	3	0	0	0.6	10	7	900	1620	2.7	4	3
3	10	30	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
4	1	30	1	57000	1	0	0	1	2	1	100	180	1	1	3
4	2	30	1	57000	3	0	0	1	3	2	200	360	1.2	1	3
4	3	30	1	57001	3	0	0	1	4	3	300	540	1.4	1	3
4	4	30	1	57001	5	0	0	1	5	4	400	540	1.6	1	3
4	5	30	1	57002	3	0	0	1	6	4	500	1080	1.8	2	3
4	6	30	1	57002	5	0	0	1	7	5	600	1620	2	2	3
4	7	30	1	57003	3	0	0	0.9	8	6	700	1620	2.2	3	3
4	8	30	1	57003	5	0	0	0.75	9	7	800	3240	2.4	4	3
4	9	30	1	57004	3	0	0	0.6	10	7	900	4860	2.7	4	3
4	10	30	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
5	1	30	1	57000	1	0	0	1	2	1	100	540	1	1	3
5	2	30	1	57000	3	0	0	1	3	2	200	1080	1.2	1	3
5	3	30	1	57001	3	0	0	1	4	3	300	1620	1.4	1	3
5	4	30	1	57001	5	0	0	1	5	4	400	1620	1.6	1	3
5	5	30	1	57002	3	0	0	1	6	4	500	3240	1.8	2	3
5	6	30	1	57002	5	0	0	1	7	5	600	4860	2	2	3
5	7	30	1	57003	3	0	0	0.9	8	6	700	4860	2.2	3	3
5	8	30	1	57003	5	0	0	0.75	9	7	800	9720	2.4	4	3
5	9	30	1	57004	3	0	0	0.6	10	7	900	14580	2.7	4	3
5	10	30	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
6	1	30	1	57000	1	0	0	1	2	1	100	1620	1	1	3
6	2	30	1	57000	3	0	0	1	3	2	200	3240	1.2	1	3
6	3	30	1	57001	3	0	0	1	4	3	300	4860	1.4	1	3
6	4	30	1	57001	5	0	0	1	5	4	400	4860	1.6	1	3
6	5	30	1	57002	3	0	0	1	6	4	500	9720	1.8	2	3
6	6	30	1	57002	5	0	0	1	7	5	600	14580	2	2	3
6	7	30	1	57003	3	0	0	0.9	8	6	700	14580	2.2	3	3
6	8	30	1	57003	5	0	0	0.75	9	7	800	29160	2.4	4	3
6	9	30	1	57004	3	0	0	0.6	10	7	900	43740	2.7	4	3
6	10	30	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
1	1	40	0	0	0	0	0	1	2	1	100	20	1	1	3
1	2	40	0	0	0	0	0	1	3	2	200	40	1.2	1	3
1	3	40	0	0	0	0	0	1	4	3	300	60	1.4	1	3
1	4	40	0	0	0	0	0	1	5	4	400	60	1.6	1	3
1	5	40	0	0	0	0	0	1	6	4	500	120	1.8	2	3
1	6	40	0	0	0	0	0	1	7	5	600	180	2	2	3
1	7	40	0	0	0	0	0	0.9	8	6	700	180	2.2	3	3
1	8	40	0	0	0	0	0	0.75	9	7	800	360	2.4	4	3
1	9	40	0	0	0	0	0	0.6	10	7	900	540	2.7	4	3
1	10	40	0	0	0	0	0	0.5	11	9	1000	0	3	5	3
2	1	40	1	57000	1	0	0	1	2	1	100	20	1	1	3
2	2	40	1	57000	3	0	0	1	3	2	200	40	1.2	1	3
2	3	40	1	57001	3	0	0	1	4	3	300	60	1.4	1	3
2	4	40	1	57001	5	0	0	1	5	4	400	60	1.6	1	3
2	5	40	1	57002	3	0	0	1	6	4	500	120	1.8	2	3
2	6	40	1	57002	5	0	0	1	7	5	600	180	2	2	3
2	7	40	1	57003	3	0	0	0.9	8	6	700	180	2.2	3	3
2	8	40	1	57003	5	0	0	0.75	9	7	800	360	2.4	4	3
2	9	40	1	57004	3	0	0	0.6	10	7	900	540	2.7	4	3
2	10	40	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
3	1	40	1	57000	1	0	0	1	2	1	100	60	1	1	3
3	2	40	1	57000	3	0	0	1	3	2	200	120	1.2	1	3
3	3	40	1	57001	3	0	0	1	4	3	300	180	1.4	1	3
3	4	40	1	57001	5	0	0	1	5	4	400	180	1.6	1	3
3	5	40	1	57002	3	0	0	1	6	4	500	360	1.8	2	3
3	6	40	1	57002	5	0	0	1	7	5	600	540	2	2	3
3	7	40	1	57003	3	0	0	0.9	8	6	700	540	2.2	3	3
3	8	40	1	57003	5	0	0	0.75	9	7	800	1080	2.4	4	3
3	9	40	1	57004	3	0	0	0.6	10	7	900	1620	2.7	4	3
3	10	40	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
4	1	40	1	57000	1	0	0	1	2	1	100	180	1	1	3
4	2	40	1	57000	3	0	0	1	3	2	200	360	1.2	1	3
4	3	40	1	57001	3	0	0	1	4	3	300	540	1.4	1	3
4	4	40	1	57001	5	0	0	1	5	4	400	540	1.6	1	3
4	5	40	1	57002	3	0	0	1	6	4	500	1080	1.8	2	3
4	6	40	1	57002	5	0	0	1	7	5	600	1620	2	2	3
4	7	40	1	57003	3	0	0	0.9	8	6	700	1620	2.2	3	3
4	8	40	1	57003	5	0	0	0.75	9	7	800	3240	2.4	4	3
4	9	40	1	57004	3	0	0	0.6	10	7	900	4860	2.7	4	3
4	10	40	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
5	1	40	1	57000	1	0	0	1	2	1	100	540	1	1	3
5	2	40	1	57000	3	0	0	1	3	2	200	1080	1.2	1	3
5	3	40	1	57001	3	0	0	1	4	3	300	1620	1.4	1	3
5	4	40	1	57001	5	0	0	1	5	4	400	1620	1.6	1	3
5	5	40	1	57002	3	0	0	1	6	4	500	3240	1.8	2	3
5	6	40	1	57002	5	0	0	1	7	5	600	4860	2	2	3
5	7	40	1	57003	3	0	0	0.9	8	6	700	4860	2.2	3	3
5	8	40	1	57003	5	0	0	0.75	9	7	800	9720	2.4	4	3
5	9	40	1	57004	3	0	0	0.6	10	7	900	14580	2.7	4	3
5	10	40	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
6	1	40	1	57000	1	0	0	1	2	1	100	1620	1	1	3
6	2	40	1	57000	3	0	0	1	3	2	200	3240	1.2	1	3
6	3	40	1	57001	3	0	0	1	4	3	300	4860	1.4	1	3
6	4	40	1	57001	5	0	0	1	5	4	400	4860	1.6	1	3
6	5	40	1	57002	3	0	0	1	6	4	500	9720	1.8	2	3
6	6	40	1	57002	5	0	0	1	7	5	600	14580	2	2	3
6	7	40	1	57003	3	0	0	0.9	8	6	700	14580	2.2	3	3
6	8	40	1	57003	5	0	0	0.75	9	7	800	29160	2.4	4	3
6	9	40	1	57004	3	0	0	0.6	10	7	900	43740	2.7	4	3
6	10	40	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
1	1	40	0	0	0	0	0	1	2	1	100	20	1	1	3
1	2	40	0	0	0	0	0	1	3	2	200	40	1.2	1	3
1	3	40	0	0	0	0	0	1	4	3	300	60	1.4	1	3
1	4	40	0	0	0	0	0	1	5	4	400	60	1.6	1	3
1	5	40	0	0	0	0	0	1	6	4	500	120	1.8	2	3
1	6	40	0	0	0	0	0	1	7	5	600	180	2	2	3
1	7	40	0	0	0	0	0	0.9	8	6	700	180	2.2	3	3
1	8	40	0	0	0	0	0	0.75	9	7	800	360	2.4	4	3
1	9	40	0	0	0	0	0	0.6	10	7	900	540	2.7	4	3
1	10	40	0	0	0	0	0	0.5	11	9	1000	0	3	5	3
2	1	40	1	57000	1	0	0	1	2	1	100	20	1	1	3
2	2	40	1	57000	3	0	0	1	3	2	200	40	1.2	1	3
2	3	40	1	57001	3	0	0	1	4	3	300	60	1.4	1	3
2	4	40	1	57001	5	0	0	1	5	4	400	60	1.6	1	3
2	5	40	1	57002	3	0	0	1	6	4	500	120	1.8	2	3
2	6	40	1	57002	5	0	0	1	7	5	600	180	2	2	3
2	7	40	1	57003	3	0	0	0.9	8	6	700	180	2.2	3	3
2	8	40	1	57003	5	0	0	0.75	9	7	800	360	2.4	4	3
2	9	40	1	57004	3	0	0	0.6	10	7	900	540	2.7	4	3
2	10	40	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
3	1	40	1	57000	1	0	0	1	2	1	100	60	1	1	3
3	2	40	1	57000	3	0	0	1	3	2	200	120	1.2	1	3
3	3	40	1	57001	3	0	0	1	4	3	300	180	1.4	1	3
3	4	40	1	57001	5	0	0	1	5	4	400	180	1.6	1	3
3	5	40	1	57002	3	0	0	1	6	4	500	360	1.8	2	3
3	6	40	1	57002	5	0	0	1	7	5	600	540	2	2	3
3	7	40	1	57003	3	0	0	0.9	8	6	700	540	2.2	3	3
3	8	40	1	57003	5	0	0	0.75	9	7	800	1080	2.4	4	3
3	9	40	1	57004	3	0	0	0.6	10	7	900	1620	2.7	4	3
3	10	40	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
4	1	40	1	57000	1	0	0	1	2	1	100	180	1	1	3
4	2	40	1	57000	3	0	0	1	3	2	200	360	1.2	1	3
4	3	40	1	57001	3	0	0	1	4	3	300	540	1.4	1	3
4	4	40	1	57001	5	0	0	1	5	4	400	540	1.6	1	3
4	5	40	1	57002	3	0	0	1	6	4	500	1080	1.8	2	3
4	6	40	1	57002	5	0	0	1	7	5	600	1620	2	2	3
4	7	40	1	57003	3	0	0	0.9	8	6	700	1620	2.2	3	3
4	8	40	1	57003	5	0	0	0.75	9	7	800	3240	2.4	4	3
4	9	40	1	57004	3	0	0	0.6	10	7	900	4860	2.7	4	3
4	10	40	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
5	1	40	1	57000	1	0	0	1	2	1	100	540	1	1	3
5	2	40	1	57000	3	0	0	1	3	2	200	1080	1.2	1	3
5	3	40	1	57001	3	0	0	1	4	3	300	1620	1.4	1	3
5	4	40	1	57001	5	0	0	1	5	4	400	1620	1.6	1	3
5	5	40	1	57002	3	0	0	1	6	4	500	3240	1.8	2	3
5	6	40	1	57002	5	0	0	1	7	5	600	4860	2	2	3
5	7	40	1	57003	3	0	0	0.9	8	6	700	4860	2.2	3	3
5	8	40	1	57003	5	0	0	0.75	9	7	800	9720	2.4	4	3
5	9	40	1	57004	3	0	0	0.6	10	7	900	14580	2.7	4	3
5	10	40	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
6	1	40	1	57000	1	0	0	1	2	1	100	1620	1	1	3
6	2	40	1	57000	3	0	0	1	3	2	200	3240	1.2	1	3
6	3	40	1	57001	3	0	0	1	4	3	300	4860	1.4	1	3
6	4	40	1	57001	5	0	0	1	5	4	400	4860	1.6	1	3
6	5	40	1	57002	3	0	0	1	6	4	500	9720	1.8	2	3
6	6	40	1	57002	5	0	0	1	7	5	600	14580	2	2	3
6	7	40	1	57003	3	0	0	0.9	8	6	700	14580	2.2	3	3
6	8	40	1	57003	5	0	0	0.75	9	7	800	29160	2.4	4	3
6	9	40	1	57004	3	0	0	0.6	10	7	900	43740	2.7	4	3
6	10	40	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
1	1	50	0	0	0	0	0	1	2	1	100	20	1	1	3
1	2	50	0	0	0	0	0	1	3	2	200	40	1.2	1	3
1	3	50	0	0	0	0	0	1	4	3	300	60	1.4	1	3
1	4	50	0	0	0	0	0	1	5	4	400	60	1.6	1	3
1	5	50	0	0	0	0	0	1	6	4	500	120	1.8	2	3
1	6	50	0	0	0	0	0	1	7	5	600	180	2	2	3
1	7	50	0	0	0	0	0	0.9	8	6	700	180	2.2	3	3
1	8	50	0	0	0	0	0	0.75	9	7	800	360	2.4	4	3
1	9	50	0	0	0	0	0	0.6	10	7	900	540	2.7	4	3
1	10	50	0	0	0	0	0	0.5	11	9	1000	0	3	5	3
2	1	50	1	57000	1	0	0	1	2	1	100	20	1	1	3
2	2	50	1	57000	3	0	0	1	3	2	200	40	1.2	1	3
2	3	50	1	57001	3	0	0	1	4	3	300	60	1.4	1	3
2	4	50	1	57001	5	0	0	1	5	4	400	60	1.6	1	3
2	5	50	1	57002	3	0	0	1	6	4	500	120	1.8	2	3
2	6	50	1	57002	5	0	0	1	7	5	600	180	2	2	3
2	7	50	1	57003	3	0	0	0.9	8	6	700	180	2.2	3	3
2	8	50	1	57003	5	0	0	0.75	9	7	800	360	2.4	4	3
2	9	50	1	57004	3	0	0	0.6	10	7	900	540	2.7	4	3
2	10	50	0	57004	5	0	0	0.5	11	9	1000	0	3	5	3
3	1	50	1	57000	1	0	0	1	2	1	100	60	1	1	3
3	2	50	1	57000	3	0	0	1	3	2	200	120	1.2	1	3
3	3	50	1	57001	3	0	0	1	4	3	300	180	1.4	1	3
3	4	50	1	57001	5	0	0	1	5	4	400	180	1.6	1	3
3	5	50	1	57002	3	0	0	1	6	4	500	360	1.8	2	3
3	6	50	1	57002	5	0	0	1	7	5	600	540	2	2	3
3	7	50	1	57003	3	0	0	0.9	8	6	700	540	2.2	3	3
