Index	Name	Title	ModelId	Sex	Race	Level	MaxHp	Radius	Dist	Zoom	PicId	Function	Talk_4_0	Talk_4_1	Talk_4_2	Talk_4_3	Color	MoveType	MoveSpeed	Height	CamPos	headIcon
17	姬太师	0	74008	2	0	1	100	1	1.5	100	0	0	    天将大乱也。	    连天子脚下都如此动荡，是臣子之无能也。	    天牢听说被妖族入侵，可恶之极。	    本官之志在于天下为天下苍生谋福祉。	0	1	4	0	0;1.4;1.6;	11000687
18	殷风	典狱官	74006	2	0	1	100	1	1.5	100	0	0	    大牢失守，末将真是羞愧难耐。	    应天大牢关押的都是穷凶极恶之徒。	    应天大牢全是寒铁所铸，要想从外攻进去简直犹如登天。	    大牢肯定混进了内奸。	0	1	4	0	0;1.4;1.6;	0
19	逍遥子	散仙	74017	2	0	1	100	1	1.5	100	0	0	    一花一世界，一树一菩提。	    踏浪而来，乘风而去，这就是我。	    踏浪而来，乘风而去，这就是我。	    何必想探究我的存在。	0	1	4	0	0;1.4;1.6;	0
20	周方冠	游方道士	74018	2	0	1	100	1	1.5	100	0	0	    等贫道了却此地之事，便要云游天地之间，做一介逍遥散仙。	    别问我从哪里来，要到哪里去。	    游走四方，看尽尘事，但还是跳不出纷纷绕绕。	    世人皆醉，我独醒。	0	1	4	0	0;1.4;1.6;	0
21	李大锤	0	74009	2	0	1	100	1	1.5	100	0	8	    我的手艺可是方圆十里地最好的。	    我原本是个逍遥自在的猎户，直到我的膝盖中了一箭。	    最近生意好，生铁又快不够了。	    希望有生之年能亲手打造一把绝世神兵！	0	1	4	0	0;1.4;1.6;	11000694
23	阿牛	0	74001	2	0	1	100	1	1.5	100	0	8	    只有你想不到的，没有我弄不来的物品。	    来来来，随便看，随意挑。	    我的东西可是货真价实，童叟无欺。	    我这都是各地的特产，你本地见不着的。	0	1	4	0	0;1.4;1.6;	11000689
24	土地公	0	74016	2	0	1	100	1	1.5	100	0	0	    千雷阵的雷可是天雷，是蕴含神力的	    千雷阵的雷可是天雷，是蕴含神力的	    拯救天雷镇只能看村民的造化了。	    天雷镇很久未打雷了，这很反常。	0	1	4	0	0;1.4;1.6;	0
25	胡一鸣	义妖	74012	2	0	1	100	1	1.5	100	0	0	    妖也不尽是坏人。	    人是人他妈生的，妖是妖他妈生的。	    身为一个妖，我也很无奈。	    你妈贵姓？	0	1	4	0	0;1.4;1.6;	0
26	李大锤	0	74009	2	0	1	100	1	1.5	100	0	8	    我的手艺可是方圆十里地最好的。	    我原本是个逍遥自在的猎户，直到我的膝盖中了一箭，	    真怀念以前当猎手的日子！	    希望有生之年能亲手打造一把绝世神兵！	0	1	4	0	0;1.4;1.6;	11000694
28	阿牛	0	74001	2	0	1	100	1	1.5	100	0	8	    只有你想不到的，没有我弄不来的物品。	    来来来，随便看，随意挑。	    我的东西可是货真价实，童叟无欺。	    我这都是各地的特产，你本地见不着的。	0	1	4	0	0;1.4;1.6;	11000689
29	巫曦	圣女	74001	1	0	1	100	1	1.5	100	0	0	    万物皆有各自造化！	    有新手劵么？	    一切随缘就好！	    万物皆有各自造化！	0	1	4	0	0;1.4;1.6;	11000690
30	阿牛	守塔神将	74001	2	0	1	100	1	1.5	100	0	0	    万物皆有各自造化！	    有新手劵么？	    一切随缘就好！	    万物皆有各自造化！	0	1	4	0	0;1.4;1.6;	11000689
31	人参娃	0	73239	2	0	1	100	1	1.5	100	0	32	0	0	0	0	0	1	4	0	0;1.4;1.6;	0
32	人参娃	0	73239	2	0	1	100	1	1.5	100	0	32	0	0	0	0	0	1	4	0	0;1.4;1.7;	0
33	人参娃	0	73239	2	0	1	100	1	1.5	100	0	32	0	0	0	0	0	1	4	0	0;1.4;1.8;	0
34	人参娃	0	73239	2	0	1	100	1	1.5	100	0	32	0	0	0	0	0	1	4	0	0;1.4;1.9;	0
35	人参娃	0	73239	2	0	1	100	1	1.5	100	0	32	0	0	0	0	0	1	4	0	0;1.4;1.10;	0
36	人参娃	0	73239	2	0	1	100	1	1.5	100	0	32	0	0	0	0	0	1	4	0	0;1.4;1.11;	0
37	人参娃	0	73239	2	0	1	100	1	1.5	100	0	32	0	0	0	0	0	1	4	0	0;1.4;1.12;	0
38	人参娃	0	73239	2	0	1	100	1	1.5	100	0	32	0	0	0	0	0	1	4	0	0;1.4;1.13;	0
39	人参娃	0	73239	2	0	1	100	1	1.5	100	0	32	0	0	0	0	0	1	4	0	0;1.4;1.14;	0
40	人参娃	0	73239	2	0	1	100	1	1.5	100	0	32	0	0	0	0	0	1	4	0	0;1.4;1.15;	0
41	哪吒	0	73223	2	0	1	100	1	1.5	100	0	4	0	0	0	0	0	1	4	0	0;1.4;1.16;	0
42	哪吒	1	73223	2	0	1	100	1	1.5	100	0	4	0	0	0	0	0	1	4	0	0;1.4;1.17;	0
43	哪吒	2	73223	2	0	1	100	1	1.5	100	0	4	0	0	0	0	0	1	4	0	0;1.4;1.18;	0
44	哪吒	3	73223	2	0	1	100	1	1.5	100	0	4	0	0	0	0	0	1	4	0	0;1.4;1.19;	0
45	哪吒	4	73223	2	0	1	100	1	1.5	100	0	4	0	0	0	0	0	1	4	0	0;1.4;1.20;	0
46	哪吒	5	73223	2	0	1	100	1	1.5	100	0	4	0	0	0	0	0	1	4	0	0;1.4;1.21;	0
47	哪吒	6	73223	2	0	1	100	1	1.5	100	0	4	0	0	0	0	0	1	4	0	0;1.4;1.22;	0
48	哪吒	7	73223	2	0	1	100	1	1.5	100	0	4	0	0	0	0	0	1	4	0	0;1.4;1.23;	0
49	哪吒	8	73223	2	0	1	100	1	1.5	100	0	4	0	0	0	0	0	1	4	0	0;1.4;1.24;	0
