Level	CostGameMoney	TrainMin	TrainMax	CostRealMoney	RTrainMin	RTrainMax
53	1060	0.1	0.3	10	0.2	0.4
54	1080	0.1	0.3	10	0.2	0.4
55	1100	0.1	0.3	10	0.2	0.4
56	1120	0.1	0.3	10	0.2	0.4
57	1140	0.1	0.3	10	0.2	0.4
58	1160	0.1	0.3	10	0.2	0.4
59	1180	0.1	0.3	10	0.2	0.4
60	1200	0.1	0.3	10	0.2	0.4
61	1220	0.1	0.3	10	0.2	0.4
62	1240	0.1	0.3	10	0.2	0.4
63	1260	0.1	0.3	10	0.2	0.4
64	1280	0.1	0.3	10	0.2	0.4
65	1300	0.1	0.3	10	0.2	0.4
66	1320	0.1	0.3	10	0.2	0.4
67	1340	0.1	0.3	10	0.2	0.4
68	1360	0.1	0.3	10	0.2	0.4
69	1380	0.1	0.3	10	0.2	0.4
70	1400	0.1	0.3	10	0.2	0.4
71	1420	0.1	0.3	10	0.2	0.4
72	1440	0.1	0.3	10	0.2	0.4
73	1460	0.1	0.3	10	0.2	0.4
74	1480	0.1	0.3	10	0.2	0.4
75	1500	0.1	0.3	10	0.2	0.4
76	1520	0.1	0.3	10	0.2	0.4
77	1540	0.1	0.3	10	0.2	0.4
78	1560	0.1	0.3	10	0.2	0.4
79	1580	0.1	0.3	10	0.2	0.4
80	1600	0.1	0.3	10	0.2	0.4
81	1620	0.1	0.3	10	0.2	0.4
82	1640	0.1	0.3	10	0.2	0.4
83	1660	0.1	0.3	10	0.2	0.4
84	1680	0.1	0.3	10	0.2	0.4
85	1700	0.1	0.3	10	0.2	0.4
86	1720	0.1	0.3	10	0.2	0.4
87	1740	0.1	0.3	10	0.2	0.4
88	1760	0.1	0.3	10	0.2	0.4
89	1780	0.1	0.3	10	0.2	0.4
90	1800	0.1	0.3	10	0.2	0.4
91	1820	0.1	0.3	10	0.2	0.4
92	1840	0.1	0.3	10	0.2	0.4
93	1860	0.1	0.3	10	0.2	0.4
94	1880	0.1	0.3	10	0.2	0.4
95	1900	0.1	0.3	10	0.2	0.4
96	1920	0.1	0.3	10	0.2	0.4
97	1940	0.1	0.3	10	0.2	0.4
98	1960	0.1	0.3	10	0.2	0.4
99	1980	0.1	0.3	10	0.2	0.4
100	2000	0.1	0.3	10	0.2	0.4
101	2020	0.1	0.3	10	0.2	0.4
102	2040	0.1	0.3	10	0.2	0.4
103	2060	0.1	0.3	10	0.2	0.4
104	2080	0.1	0.3	10	0.2	0.4
105	2100	0.1	0.3	10	0.2	0.4
106	2120	0.1	0.3	10	0.2	0.4
107	2140	0.1	0.3	10	0.2	0.4
108	2160	0.1	0.3	10	0.2	0.4
109	2180	0.1	0.3	10	0.2	0.4
110	2200	0.1	0.3	10	0.2	0.4
111	2220	0.1	0.3	10	0.2	0.4
112	2240	0.1	0.3	10	0.2	0.4
113	2260	0.1	0.3	10	0.2	0.4
114	2280	0.1	0.3	10	0.2	0.4
115	2300	0.1	0.3	10	0.2	0.4
116	2320	0.1	0.3	10	0.2	0.4
117	2340	0.1	0.3	10	0.2	0.4
118	2360	0.1	0.3	10	0.2	0.4
119	2380	0.1	0.3	10	0.2	0.4
120	2400	0.1	0.3	10	0.2	0.4
121	2420	0.1	0.3	10	0.2	0.4
122	2440	0.1	0.3	10	0.2	0.4
123	2460	0.1	0.3	10	0.2	0.4
124	2480	0.1	0.3	10	0.2	0.4
125	2500	0.1	0.3	10	0.2	0.4
126	2520	0.1	0.3	10	0.2	0.4
127	2540	0.1	0.3	10	0.2	0.4
128	2560	0.1	0.3	10	0.2	0.4
129	2580	0.1	0.3	10	0.2	0.4
130	2600	0.1	0.3	10	0.2	0.4
131	2620	0.1	0.3	10	0.2	0.4
132	2640	0.1	0.3	10	0.2	0.4
133	2660	0.1	0.3	10	0.2	0.4
134	2680	0.1	0.3	10	0.2	0.4
135	2700	0.1	0.3	10	0.2	0.4
136	2720	0.1	0.3	10	0.2	0.4
137	2740	0.1	0.3	10	0.2	0.4
138	2760	0.1	0.3	10	0.2	0.4
139	2780	0.1	0.3	10	0.2	0.4
140	2800	0.1	0.3	10	0.2	0.4
