Index	Name	PreIndex	PostIndex	SceneID	RequireLevel	RequireMissionID	BossAtlasID	BossSpriteName	AtlasID	SpriteName	LuckTC_3_0	LuckTC_3_1	LuckTC_3_2	LevelNeed_3_0	LevelNeed_3_1	LevelNeed_3_2	EnterPos	EnterDir	RoundNum	GroupID_6_0	GroupPos_6_0	GroupDir_6_0	GroupScene_6_0	GroupID_6_1	GroupPos_6_1	GroupDir_6_1	GroupScene_6_1	GroupID_6_2	GroupPos_6_2	GroupDir_6_2	GroupScene_6_2	GroupID_6_3	GroupPos_6_3	GroupDir_6_3	GroupScene_6_3	GroupID_6_4	GroupPos_6_4	GroupDir_6_4	GroupScene_6_4	GroupID_6_5	GroupPos_6_5	GroupDir_6_5	GroupScene_6_5	RebornPos_3_0	RebornDir_3_0	RebornPos_3_1	RebornDir_3_1	RebornPos_3_2	RebornDir_3_2	RoadFlagID_3_0	RoadFlagPos_3_0	RoadFlagDir_3_0	RoadFlagID_3_1	RoadFlagPos_3_1	RoadFlagDir_3_1	RoadFlagID_3_2	RoadFlagPos_3_2	RoadFlagDir_3_2	CutSceneStart	CutScenePre_3_0	CutSceneSuf_3_0	CutScenePre_3_1	CutSceneSuf_3_1	CutScenePre_3_2	CutSceneSuf_3_2	EnterCameraPos	EnterCameraRot
18	大千殿玉熙殿	17	19	100530	1	1034	0	0	1006	11000180	3004	3005	3006	17	20	23	85.93884;23.62218;42.67964;	-93.20032	3	52	66.79013;23.69635;42.33995;	84.96689	101630	53	40.30132;23.69635;64.7102;	100.5648	101630	54	65.67144;23.69635;92.16151;	-125.7372	101630	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	80.82735;23.69635;41.78644;	-94.99072	54.97282;23.69635;64.21895;	-100.7174	51.43402;23.61466;90.55791;	74.24622	0	88.4321;23.69635;45.31421;	-129.8449	0	61.96774;23.69635;59.31792;	-70.88916	0	41.76376;23.69635;85.38707;	39.70778	0	0	0	0	0	0	0	15.32327;7.283868;0.03046799;	25.37405;269.8863;0;
19	大千殿福熙阁	18	20	100531	1	1035	0	0	1006	11000180	3004	3005	3006	17	20	23	49.73286;21.64141;81.90652;	184.9164	3	55	49.47168;21.6414;63.968;	0	101630	56	73.75726;21.6414;42.61123;	-99.34247	101630	57	107.3298;25.90696;42.37607;	-95.90289	101630	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	49.8992;21.6414;74.62585;	198.0748	62.90572;21.5781;43.16886;	91.23517	96.24274;21.6414;42.12337;	79.24747	0	52.48482;21.6414;72.3199;	-139.8338	0	52.49619;21.6414;46.69033;	96.81892	0	95.93626;21.6414;39.87674;	50.1911	0	0	0	0	0	0	0	0.2617111;8.44;16.45792;	27.34;180.911;0;
20	大千殿浼云殿	19	21	100532	1	1035	0	0	1006	11000180	3004	3005	3006	18	21	24	86.9086;45.15691;44.46183;	-83.59882	3	58	73.34271;43.77471;44.47618;	84.29831	101630	59	42.13855;38.24014;44.02602;	86.61856	101630	60	38.0865;43.30668;81.28625;	185.813	101630	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	86.9086;45.15691;44.46183;	-83.59882	56.62822;38.24014;43.96899;	-88.06691	38.26491;40.07876;66.92447;	-2.552246	0	0;0;0;	0	0	69.39285;43.77471;46.66616;	-94.58047	0	41.45637;38.24014;49.36964;	0	0	0	0	0	0	0	0	16.4375;8.44;-1.034241;	27.34;273.6003;0;
21	大千殿流华殿	20	22	100533	1	1037	0	0	1006	11000180	3004	3005	3006	19	22	25	60.63788;28.11503;65.04723;	50.40324	3	61	72.20424;28.11503;72.54034;	259.5971	101630	62	89.70908;31.81073;73.10953;	275.766	101630	63	85.2906;31.87605;44.20103;	13.78208	101630	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	61.03729;28.11503;65.84248;	48.42376	80.00096;29.54843;72.43373;	82.1808	87.39859;32.00755;54.4535;	-153.0369	0	0;0;0;	0	0	75.96408;28.11503;70.55946;	67.32608	0	88.47583;31.81073;68.33012;	176.3073	0	0	0	0	0	0	0	-11.75336;8.44;-11.55203;	27.34;45.49493;0;
22	大千殿玉清殿	21	23	100534	1	1039	0	11000876	1006	11000180	3004	3005	3006	20	23	26	40.43106;34.30012;44.98677;	159.1059	3	64	49.70453;33.7012;30.03596;	-57.31219	101630	65	75.32612;32.86223;22.88137;	-76.41595	101630	66	93.16298;33.85448;22.8362;	-88.02094	101630	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	41.81599;34.04919;42.428;	149.8523	59.72441;33.7012;25.02211;	98.50574	78.25574;33.85448;22.85212;	88.28342	0	41.93479;33.65301;37.40512;	150.5151	0	59.35834;33.7012;23.08505;	105.7756	0	82.21418;33.85448;20.55871;	86.49814	0	0	0	0	0	0	0	-6.193523;8.44;15.28268;	27.34;157.9391;0;
23	应天大牢角牢	22	24	100508	1	0	0	0	1006	11000180	3007	3008	3009	20	23	26	80.31065;34.67051;50.76845;	40.53214	3	67	92.19332;34.60503;64.80965;	-137.507	101609	68	68.71389;37.95161;88.20684;	128.008	101609	69	38.04084;37.95161;61.8417;	42.5789	101609	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	87.69659;34.60503;58.06903;	38.47882	76.19958;34.60503;80.83699;	-38.34229	46.69178;37.95161;69.16859;	-120.369	0	85.32649;34.60503;59.78936;	43.96529	0	86.19725;34.60503;75.34396;	-41.92987	0	55.98838;37.95161;84.6257;	-145.7885	0	0	0	0	0	0	0	-11.52064;8.44;-11.81207;	27.34;44.28444;0;
24	应天大牢亢牢	23	25	100509	1	0	0	0	1006	11000180	3007	3008	3009	21	24	27	44.98175;32.24285;104.2232;	139.8668	3	70	61.98192;32.24285;87.69489;	-37.55511	101609	71	45.36171;32.24285;71.02379;	45.04251	101609	72	71.59776;38.37839;30.05757;	0	101609	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	55.41917;32.00364;94.0752;	142.0416	50.76243;32.00364;77.07242;	-146.1616	71.33282;38.37839;42.55197;	184.5738	0	55.16713;32.17196;98.11111;	140.6994	0	55.16636;32.00364;77.05366;	-126.001	0	54.84082;32.00364;57.62874;	134.9787	0	0	0	0	0	0	0	-7.890347;8.44;14.50251;	27.34;151.4509;0;
25	应天大牢斗牢	24	26	100510	1	0	0	0	1006	11000180	3007	3008	3009	22	25	28	89.33689;25.81792;93.88316;	178.5892	3	73	90.44633;25.81792;74.66318;	0	101609	74	75.93233;22.36793;52.87646;	78.24736	101609	75	58.95636;22.63439;22.10094;	0	101609	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	89.233;25.81792;85.33764;	172.0752	86.13872;22.36793;53.65393;	-104.21	58.78708;22.36793;32.49276;	176.1336	0	78.57602;25.81792;91.84679;	137.8669	0	90.92089;22.40805;50.34313;	-83.53711	0	55.76762;22.36793;50.34333;	167.3031	0	0	0	0	0	0	0	-2.686478;8.44;16.3001;	27.34;170.6408;0;
26	应天大牢室牢	25	27	100511	1	0	0	0	1006	11000180	3007	3008	3009	23	26	29	94.94954;38.80326;94.84782;	-134.3179	3	76	79.89043;38.94345;79.17368;	43.55667	101612	77	60.97302;36.12931;60.46433;	32.81493	101612	78	36.9388;36.12931;36.01355;	57.22224	101612	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	87.11829;38.57555;86.43054;	-144.8347	67.34708;35.71252;67.30902;	-138.8834	45.882;35.71252;45.52546;	-129.1323	0	90.38751;38.57555;86.56364;	-129.1345	0	70.56653;35.71252;64.67657;	-122.9346	0	45.46881;35.71252;49.73965;	213.0695	0	0	0	0	0	0	0	11.29951;8.44;12.0649;	27.34;223.1237;0;
27	应天大牢井牢	26	28	100512	1	0	0	0	1006	11000180	3007	3008	3009	24	27	30	27.8302;50.27569;71.87016;	88.00299	3	79	53.10956;50.27569;71.80106;	-85.3689	101612	80	88.12727;43.08757;71.72675;	86.08931	101612	81	115.3793;42.74658;72.36407;	272.6465	101612	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	44.73057;50.27569;71.19888;	86.08931	80.72046;42.74658;71.14093;	102.5237	107.654;42.74658;72.8529;	239.2779	0	44.89826;50.27569;75.88375;	105.1372	0	67.17783;44.93377;74.36014;	76.44986	0	99.60373;42.88383;83.83827;	119.2682	0	0	0	0	0	0	0	-16.50472;8.44;1.079674;	27.34;93.74276;0;
28	应天大牢星牢	27	29	100513	1	0	0	11000867	1006	11000180	3007	3008	3009	25	28	31	87.5116;36.48357;50.03877;	50.81731	3	82	79.32471;36.48357;42.5602;	-40.85863	101612	83	95.23194;39.55706;58.93288;	-138.2202	101612	84	108.9387;42.68076;73.87923;	-133.7335	101612	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	66.2183;36.48357;54.01545;	135.7032	87.5116;36.48357;50.03877;	50.81731	100.3329;40.75233;63.4363;	46.18271	0	0;0;0;	0	0	85.30296;36.48357;43.87411;	30.26126	0	100.9092;39.55706;59.49434;	476.2782	0	0	0	0	0	0	0	-9.295967;5.923966;10.46827;	27.34;138.3945;0;
29	乱石滩黑水河	28	30	100535	1	0	0	0	1006	11000180	3007	3008	3009	26	29	32	37.11964;10.00061;21.50034;	0	3	85	35.15471;10.00061;37.43831;	156.9173	101636	86	31.01549;12.19199;54.83512;	180	101636	87	40.18495;15.00092;72.79121;	210.6975	101636	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	37.0416;10.00061;25.2326;	0	33.51547;10.02357;42.15464;	0	37.43092;14.67589;66.01159;	46.84419	0	0;0;0;	0	0	38.81777;10.00061;44.41367;	348.3363	0	37.84978;13.87083;62.33052;	23.58293	0	0	0	0	0	0	0	-0.3809319;8.44;-16.31555;	27.34;1.337497;0;
30	乱石滩幽泉滩	29	31	100536	1	0	0	0	1006	11000180	3007	3008	3009	27	30	33	87.6364;15.32057;102.028;	138.1758	3	88	95.91685;15.94916;90.0558;	-34.58466	101636	89	102.1678;20.00122;69.07161;	0	101636	90	97.70297;20.00122;43.38568;	25.39931	101636	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	91.41534;15.92521;100.4496;	158.4826	98.4837;18.59693;82.05;	168.2712	103.9844;20.00122;57.01126;	197.329	0	90.40191;15.6611;97.40397;	136.5572	0	96.21177;19.43125;80.28558;	169.0064	0	100.7663;20.12479;62.88043;	171.5547	0	0	0	0	0	0	0	-3.12589;8.44;16.01785;	27.34;168.9575;0;
31	乱石滩白骨坡	30	32	100537	1	0	0	0	1006	11000180	3007	3008	3009	28	31	34	54.12917;10.00061;66.30695;	-138.4452	3	91	36.06231;10.00061;34.75461;	14.27397	101636	92	75.63351;10.00061;18.02577;	-91.0722	101636	93	82.78478;10.00061;58.92666;	-176.1735	101636	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	36.83268;10.00061;40.9879;	-176.1735	70.12971;10.00061;17.72183;	-264.8893	81.54813;10.00061;50.37602;	-1.873627	0	40.46833;10.00061;48.37789;	-152.6274	0	40.25554;10.00061;18.50271;	-290.234	0	82.58001;10.00061;42.21701;	-363.8024	0	0	0	0	0	0	0	6.32848;8.44;15.04302;	27.34;202.8161;0;
32	乱石滩逐水丘	31	33	100538	1	0	0	0	1006	11000180	3007	3008	3009	29	32	35	121.1522;10.20142;80.65379;	-173.1621	3	94	120.5524;10.00061;62.28934;	0	101636	95	113.851;10.00061;38.70937;	39.5983	101636	96	99.31657;10.00061;20.01752;	62.83672	101636	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	122.6382;10.00061;75.12389;	-169.4068	118.8182;10.00061;50.6095;	-148.9945	109.5095;10.00061;28.09696;	-141.4222	0	118.671;10.00061;72.85331;	168.8203	0	115.916;10.00061;51.28431;	181.9785	0	108.2054;10.00061;30.09369;	216.6069	0	0	0	0	0	0	0	-1.231094;8.44;16.27356;	27.34;175.6738;0;
33	乱石滩万魂坑	32	34	100538	1	0	0	11000861	1006	11000180	3007	3008	3009	30	33	36	69.19765;10.00061;16.50879;	61.47122	3	97	78.00951;10.00061;25.30949;	-131.2744	101636	98	79.74387;10.00061;44.20083;	-176.0885	101636	99	81.50618;10.00061;61.0518;	-197.371	101636	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	69.19765;10.00061;16.50879;	61.47122	78.99672;10.00061;31.25292;	0	80.49824;10.00061;48.56541;	19.78242	0	76.42938;10.00061;12.82902;	3.880127	0	81.83702;10.00061;34.47317;	0	0	83.67519;10.01083;48.65414;	0	0	0	0	0	0	0	0	-1.620277;8.44;-16.23937;	27.34;5.697809;0;
34	五寒峰暗雪峰	33	35	100539	1	0	0	0	1006	11000180	3010	3011	3012	30	33	36	89.86347;19.00116;65.40298;	-61.90369	3	100	70.635;19.00116;71.41969;	98.14207	101640	101	66.92618;19.00116;48.915;	-36.29327	101640	102	66.50526;19.00116;29.22739;	0	101640	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	81.67926;19.00116;67.43391;	-66.45319	59.29359;19.00116;61.50584;	-202.5602	73.26695;19.00116;42.49832;	-154.6221	0	76.76957;19.00026;63.37585;	-43.5437	0	63.43328;19.00116;61.58967;	-190.9996	0	64.30806;19.00116;41.89109;	187.8445	0	0	0	0	0	0	0	16.3198;8.44;0.08123779;	27.34;269.7148;0;
35	五寒峰玉龙峰	34	36	100540	1	0	0	0	1006	11000180	3010	3011	3012	31	34	37	65.28394;10.01843;22.38741;	0	3	103	56.49118;10.18324;48.73836;	153.0324	101640	104	53.16306;10.01989;68.31802;	-154.4069	101640	105	47.41476;13.00079;92.08205;	90.38603	101640	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	60.69194;10.07134;43.17208;	-24.87402	52.75671;9.9973;60.21288;	0	54.94814;12.79187;91.35661;	-65.79034	0	69.75245;10.32713;27.12865;	0	0	54.3793;10.05477;53.67054;	0.6203308	0	60.624;10.16147;79.11287;	0	0	0	0	0	0	0	0	6.077354;8.44;-19.05428;	33.07287;342.31;0;
