Level	Attack_3_0	Attack_3_1	Attack_3_2	Defense_3_0	Defense_3_1	Defense_3_2	FSDefense_3_0	FSDefense_3_1	FSDefense_3_2	Life_3_0	Life_3_1	Life_3_2	Exp_3_0	Exp_3_1	Exp_3_2
84	9478	11848	5563	18933	23667	16688	13253	16567	13350	25663	32079	22250	1985	2978	4467
85	9869	12337	5750	20005	25007	17250	14004	17505	13800	26881	33602	23000	2030	3045	4568
86	10259	12824	5938	21078	26348	17813	14755	18444	14250	28098	35123	23750	2075	3113	4670
87	10650	13313	6125	22150	27688	18375	15505	19382	14700	29315	36644	24500	2120	3180	4770
88	11040	13800	6313	23222	29028	18938	16256	20320	15150	30533	38167	25250	2165	3248	4872
89	11431	14289	6500	24295	30369	19500	17006	21258	15600	31750	39688	26000	2210	3315	4973
90	11821	14777	6688	25367	31709	20063	17757	22197	16050	32967	41209	26750	2255	3383	5075
91	12402	15503	6938	26538	33173	20813	18577	23222	16650	34637	43297	27750	2305	3458	5187
92	12982	16228	7188	27708	34635	21563	19396	24245	17250	36307	45384	28750	2355	3533	5300
93	13563	16954	7438	28879	36099	22313	20215	25269	17850	37977	47472	29750	2405	3608	5412
94	14144	17680	7688	30050	37563	23063	21035	26294	18450	39646	49558	30750	2455	3683	5525
95	14725	18407	7938	31220	39025	23813	21854	27318	19050	41316	51645	31750	2505	3758	5637
96	15305	19132	8188	32391	40489	24563	22674	28343	19650	42986	53733	32750	2555	3833	5750
97	15886	19858	8438	33562	41953	25313	23493	29367	20250	44656	55820	33750	2605	3908	5862
98	16467	20584	8688	34732	43415	26063	24313	30392	20850	46325	57907	34750	2655	3983	5975
99	17048	21310	8938	35903	44879	26813	25132	31415	21450	47995	59994	35750	2705	4058	6087
100	17628	22035	9188	37073	46342	27563	25952	32440	22050	49665	62082	36750	2755	4133	6200
101	17962	22453	9500	37820	47275	28500	26474	33093	22800	50573	63217	38000	2810	4215	6323
102	18295	22869	9813	38567	48209	29438	26997	33747	23550	51482	64353	39250	2865	4298	6447
103	18628	23285	10125	39314	49143	30375	27520	34400	24300	52390	65488	40500	2920	4380	6570
104	18962	23703	10438	40060	50075	31313	28042	35053	25050	53299	66624	41750	2975	4463	6695
105	19295	24119	10750	40807	51009	32250	28565	35707	25800	54207	67759	43000	3030	4545	6818
106	19628	24535	11063	41554	51943	33188	29088	36360	26550	55116	68895	44250	3085	4628	6942
107	19962	24953	11375	42300	52875	34125	29610	37013	27300	56024	70030	45500	3140	4710	7065
108	20295	25369	11688	43047	53809	35063	30133	37667	28050	56933	71167	46750	3195	4793	7190
109	20629	25787	12000	43794	54743	36000	30656	38320	28800	57841	72302	48000	3250	4875	7313
110	20962	26203	12313	44540	55675	36938	31178	38973	29550	58749	73437	49250	3305	4958	7437
111	22458	28073	12750	48947	61184	38250	34263	42829	30600	64096	80120	51000	3365	5048	7572
112	23953	29942	13188	53354	66693	39563	37348	46685	31650	69443	86804	52750	3425	5138	7707
113	25449	31812	13625	57761	72202	40875	40433	50542	32700	74790	93488	54500	3485	5228	7842
114	26945	33682	14063	62168	77710	42188	43518	54398	33750	80136	100170	56250	3545	5318	7977
115	28440	35550	14500	66575	83219	43500	46603	58254	34800	85483	106854	58000	3605	5408	8112
116	29936	37420	14938	70983	88729	44813	49688	62110	35850	90830	113538	59750	3665	5498	8247
117	31432	39290	15375	75390	94238	46125	52773	65967	36900	96176	120220	61500	3725	5588	8382
118	32927	41159	15813	79797	99747	47438	55858	69823	37950	101523	126904	63250	3785	5678	8517
119	34423	43029	16250	84204	105255	48750	58943	73679	39000	106870	133588	65000	3845	5768	8652
120	35919	44899	16688	88611	110764	50063	62028	77535	40050	112216	140270	66750	3905	5858	8787
121	36489	45612	17250	90116	112645	51750	63081	78852	41400	113980	142475	69000	3970	5955	8933
122	37059	46324	17813	91621	114527	53438	64135	80169	42750	115743	144679	71250	4035	6053	9080
123	37630	47038	18375	93125	116407	55125	65188	81485	44100	117507	146884	73500	4100	6150	9225
124	38200	47750	18938	94630	118288	56813	66241	82802	45450	119271	149089	75750	4165	6248	9372
125	38770	48463	19500	96135	120169	58500	67295	84119	46800	121034	151293	78000	4230	6345	9518
126	39341	49177	20063	97640	122050	60188	68348	85435	48150	122798	153498	80250	4295	6443	9665
127	39911	49889	20625	99145	123932	61875	69402	86753	49500	124562	155703	82500	4360	6540	9810
128	40481	50602	21188	100650	125813	63563	70455	88069	50850	126325	157907	84750	4425	6638	9957
129	41052	51315	21750	102155	127694	65250	71509	89387	52200	128089	160112	87000	4490	6735	10103
130	41622	52028	22375	103660	129575	67125	72562	90703	53700	129852	162315	89500	4555	6833	10250
131	42808	53510	23125	106049	132562	69375	74235	92794	55500	133658	167073	92500	4625	6938	10407
132	43995	54994	23875	108439	135549	71625	75907	94884	57300	137463	171829	95500	4695	7043	10565
133	45181	56477	24625	110829	138537	73875	77580	96975	59100	141268	176585	98500	4765	7148	10722
134	46367	57959	25375	113218	141523	76125	79253	99067	60900	145073	181342	101500	4835	7253	10880
135	47554	59443	26125	115608	144510	78375	80926	101158	62700	148878	186098	104500	4905	7358	11037
136	48740	60925	26875	117997	147497	80625	82598	103248	64500	152683	190854	107500	4975	7463	11195
137	49926	62408	27625	120387	150484	82875	84271	105339	66300	156488	195610	110500	5045	7568	11352
138	51112	63890	28375	122776	153470	85125	85944	107430	68100	160293	200367	113500	5115	7673	11510
139	52299	65374	29125	125166	156458	87375	87616	109520	69900	164099	205124	116500	5185	7778	11667
140	53485	66857	29875	127555	159444	89625	89289	111612	71700	167904	209880	119500	5255	7883	11825
