Index	AptitudeName	AptitudeDes	Name_4_0	Name_4_1	Name_4_2	Name_4_3	ModelId_4_0	ModelId_4_1	ModelId_4_2	ModelId_4_3	Race	Sex	ClassType	ClassType2	ClassLevel	InitLevel	Aptitude	Loyal	BattleSkill_3_0	BattleSkillLevel_3_0	BattleSkill_3_1	BattleSkillLevel_3_1	BattleSkill_3_2	BattleSkillLevel_3_2	PassiveSkill_5_0	PassiveSkillLevel_5_0	PassiveSkill_5_1	PassiveSkillLevel_5_1	PassiveSkill_5_2	PassiveSkillLevel_5_2	PassiveSkill_5_3	PassiveSkillLevel_5_3	PassiveSkill_5_4	PassiveSkillLevel_5_4	WuLi	LingQiao	TiZhi	ShuFa	TongLing	Growth	RandRate	WuLiRate	LingQiaoRate	TiZhiRate	ShuFaRate	TongLingRate
10026	野性化身	被攻击后，伤害上升，最多叠加3层	白熊精	白熊精	白熊精	白熊精	73145	73146	73147	73148	3	2	4	1	1	1	0	1	5009	1	0	0	50081	1	59009	1	0	0	0	0	0	0	0	0	11	6	9	4	0	20	1	2500	2500	2500	2500	0
10027	血魂劫	亲手杀死目标可恢复自身一定血量	白骨精	白骨精	白骨精	白骨精	73209	73210	73211	73209	4	2	7	3	1	1	0	1	5010	1	0	0	50091	1	59010	1	0	0	0	0	0	0	0	0	7	10	8	5	0	20	1	2500	2500	2500	2500	0
10028	火焰逆袭	死亡时对敌方阵营内随机一个单位造成火焰伤害，伤害根据苍火长老的最大血量上升而上升	苍火长老	苍火长老	苍火长老	苍火长老	73129	73130	73131	73132	4	2	8	2	1	1	0	1	5011	1	0	0	50101	1	59011	1	0	0	0	0	0	0	0	0	5	8	7	10	0	20	1	2500	2500	2500	2500	0
10029	火焰护甲	血量低于50%，或获得火焰护盾效果，被攻击时反弹一部分伤害	火麒麟	火麒麟	火麒麟	火麒麟	73093	73094	73095	73115	5	2	8	2	1	1	0	1	5012	1	0	0	50111	1	59012	1	0	0	0	0	0	0	0	0	5	8	7	10	0	20	1	2500	2500	2500	2500	0
10030	凶兽	攻击附带驱散对手有益效果	饕杌	饕杌	饕杌	饕杌	73137	73138	73139	73140	4	2	5	1	1	1	0	1	5013	1	0	0	50121	1	59013	1	0	0	0	0	0	0	0	0	11	6	9	4	0	20	1	2500	2500	2500	2500	0
10031	灵兽	每回合时周围同伴回复其最高血量的1%血量	水貐	水貐	水貐	水貐	73096	73097	73098	73099	3	2	7	1	1	1	0	1	5014	1	0	0	50131	1	59014	1	0	0	0	0	0	0	0	0	9	9	9	9	0	20	1	2500	2500	2500	2500	0
10032	刺骨寒冰	攻击有一定概率令目标冻结，持续3回合	冰魄怪	冰魄怪	冰魄怪	冰魄怪	73149	73150	73151	73152	3	0	7	3	1	1	0	1	5015	1	0	0	50141	1	59015	1	0	0	0	0	0	0	0	0	7	10	8	5	0	20	1	2500	2500	2500	2500	0
10033	特质名	特质描述	越来峰	越来峰	越来峰	越来峰	73217	73218	73219	73220	1	2	5	1	1	1	0	1	5016	1	0	0	50151	1	59016	1	0	0	0	0	0	0	0	0	9	9	9	9	0	20	1	2500	2500	2500	2500	0
10034	魔焰	三味真火给予对手的灼烧效果不能被驱散，直到死亡不会消失	红孩儿	红孩儿	红孩儿	红孩儿	73213	73214	73214	73214	4	2	8	2	1	1	3	1	5017	1	0	0	50161	1	59017	1	0	0	0	0	0	0	0	0	5	8	7	10	0	20	0	2500	2500	2500	2500	0
10035	千年人参	攻击造成的伤害%，按照阵营单位个数平均分摊成治疗量	人参娃	人参娃	人参娃	人参娃	73237	73238	73239	73239	3	2	9	2	1	1	0	1	5021	1	0	0	50201	1	0	0	0	0	0	0	0	0	0	0	5	8	7	10	0	20	1	2500	2500	2500	2500	0
10036	三头六臂	血量低于50%时模型变身并获得攻防上升效果，持续至回合结束，或者单位死亡	哪吒	哪吒	哪吒	哪吒	73221	73222	73223	73223	1	2	5	1	1	1	3	1	5018	1	0	0	50171	1	59018	1	0	0	0	0	0	0	0	0	11	6	9	4	0	20	0	2500	2500	2500	2500	0
10037	神威	第1回合开始，自身中心十字2格范围同正营单位怒气上升	雷公	雷公	雷公	雷公	73225	73226	73226	73226	5	2	6	3	1	1	4	1	5019	1	0	0	50181	1	59019	1	0	0	0	0	0	0	0	0	7	10	8	5	0	20	0	2500	2500	2500	2500	0
10038	坚韧	开场时，伤害减免效果，持续3个回合	牛魔王	牛魔王	牛魔王	牛魔王	73229	73230	73231	73231	4	2	4	1	1	1	4	1	5020	1	0	0	50191	1	59020	1	0	0	0	0	0	0	0	0	11	6	9	4	0	20	0	2500	2500	2500	2500	0
10039	金刚不坏	敌人越多防御力越高	杨戬	杨戬	杨戬	杨戬	73257	73258	73259	73259	1	2	5	1	1	1	6	1	5022	1	0	0	50211	1	59022	1	0	0	0	0	0	0	0	0	11	6	9	4	0	20	0	2500	2500	2500	2500	0
10040	女神	普通攻击降低对方杀气10点	嫦娥	嫦娥	嫦娥	嫦娥	73273	73274	73275	73275	1	1	9	2	1	1	5	1	5023	1	0	0	50221	1	0	0	0	0	0	0	0	0	0	0	5	8	7	10	0	20	0	2500	2500	2500	2500	0
10041	千年人参	攻击造成的伤害%，按照阵营单位个数平均分摊成治疗量	人参娃	人参娃	人参娃	人参娃	73237	73238	73239	73239	3	2	9	2	1	1	1	1	5021	1	0	0	50201	1	0	0	0	0	0	0	0	0	0	0	5	8	7	10	0	20	1	2500	2500	2500	2500	0
10042	倒打一耙	反击几率提高，并且每回合可反击两次	火猪	火猪	火猪	火猪	73089	73090	73091	73092	3	2	4	1	1	1	1	1	5004	1	0	0	50031	1	0	0	0	0	0	0	0	0	0	0	11	6	9	4	0	20	1	2500	2500	2500	2500	0
10043	血魂劫	每次攻击成功可提升自己的攻击，并且在亲手杀死对手后，可吸收其魂魄来治疗自己。	白骨精	白骨精	白骨精	白骨精	73209	73210	73211	73209	4	2	7	3	1	1	1	1	5010	1	0	0	50091	1	59010	1	0	0	0	0	0	0	0	0	7	10	8	5	0	20	1	2500	2500	2500	2500	0
10044	一闪	可攻击直线上的两个目标	蛤蟆精	蛤蟆精	蛤蟆精	蛤蟆精	73177	73178	73179	73180	3	2	5	1	1	1	1	1	5003	1	0	0	50021	1	0	0	0	0	0	0	0	0	0	0	11	6	9	4	0	20	1	2500	2500	2500	2500	0
