Index	Name	Type	SceneID	Reputation	Money	Exp	TCID	TipID	MonID_9_0	MonID_9_1	MonID_9_2	MonID_9_3	MonID_9_4	MonID_9_5	MonID_9_6	MonID_9_7	MonID_9_8	TargetLevel	FixValue	FightValue
37	神女峰 第17关	0	101615	0	14070	8680	0	0	2103502	2103803	2103502	2103601	2103601	0	0	0	0	37	0.9	37
38	神女峰 第18关	0	101615	0	15120	9330	0	0	2103701	2103702	2103701	2103702	2103702	0	0	0	0	38	0.9	38
39	神女峰 第19关	0	101615	0	16140	9960	0	0	2103702	2103801	2103702	2103701	2103702	0	0	0	0	39	0.9	39
40	神女峰 第20关	2	101615	0	17190	10610	5108	8	2103503	2103503	2103503	2103802	2104001	0	0	0	0	40	0.9	40
41	南荒地 第1关	0	101621	0	0	42	0	0	210101	210101	0	0	0	0	0	0	0	10	1	41
42	南荒地 第2关	0	101621	0	0	42	0	0	210101	210101	0	0	0	0	0	0	0	10	1	42
43	南荒地 第3关	0	101621	0	0	43	0	0	210101	210101	0	0	0	0	0	0	0	10	1	43
44	南荒地 第4关	0	101621	0	0	44	0	0	210101	210101	0	0	0	0	0	0	0	10	1	44
45	南荒地 第5关	1	101621	0	0	45	5109	9	210101	210101	0	0	0	0	0	0	0	10	1	45
46	南荒地 第6关	0	101621	0	0	46	0	0	210101	210101	0	0	0	0	0	0	0	10	1	46
47	南荒地 第7关	0	101621	0	0	47	0	0	210101	210101	0	0	0	0	0	0	0	10	1	47
48	南荒地 第8关	0	101621	0	0	48	0	0	210101	210101	0	0	0	0	0	0	0	10	1	48
49	南荒地 第9关	0	101621	0	0	49	0	0	210101	210101	0	0	0	0	0	0	0	10	1	49
50	南荒地 第10关	2	101621	0	0	50	5110	10	210101	210101	0	0	0	0	0	0	0	10	1	50
51	南荒地 第11关	0	101621	0	0	51	0	0	210101	210101	0	0	0	0	0	0	0	10	1	51
52	南荒地 第12关	0	101621	0	0	52	0	0	210101	210101	0	0	0	0	0	0	0	10	1	52
53	南荒地 第13关	0	101621	0	0	53	0	0	210101	210101	0	0	0	0	0	0	0	10	1	53
54	南荒地 第14关	0	101621	0	0	54	0	0	210101	210101	0	0	0	0	0	0	0	10	1	54
55	南荒地 第15关	1	101621	0	0	55	5111	11	210101	210101	0	0	0	0	0	0	0	10	1	55
56	南荒地 第16关	0	101621	0	0	56	0	0	210101	210101	0	0	0	0	0	0	0	10	1	56
57	南荒地 第17关	0	101621	0	0	57	0	0	210101	210101	0	0	0	0	0	0	0	10	1	57
58	南荒地 第18关	0	101621	0	0	58	0	0	210101	210101	0	0	0	0	0	0	0	10	1	58
59	南荒地 第19关	0	101621	0	0	59	0	0	210101	210101	0	0	0	0	0	0	0	10	1	59
60	南荒地 第20关	2	101621	0	0	60	5112	112	210101	210101	0	0	0	0	0	0	0	10	1	60
61	昆仑岭 第1关	0	101621	0	0	61	0	0	210101	210101	0	0	0	0	0	0	0	10	1	61
62	昆仑岭 第2关	0	101621	0	0	62	0	0	210101	210101	0	0	0	0	0	0	0	10	1	62
63	昆仑岭 第3关	0	101621	0	0	63	0	0	210101	210101	0	0	0	0	0	0	0	10	1	63
64	昆仑岭 第4关	0	101621	0	0	64	0	0	210101	210101	0	0	0	0	0	0	0	10	1	64
65	昆仑岭 第5关	1	101621	0	0	65	5113	13	210101	210101	0	0	0	0	0	0	0	10	1	65
66	昆仑岭 第6关	0	101621	0	0	66	0	0	210101	210101	0	0	0	0	0	0	0	10	1	66
67	昆仑岭 第7关	0	101621	0	0	67	0	0	210101	210101	0	0	0	0	0	0	0	10	1	67
68	昆仑岭 第8关	0	101621	0	0	68	0	0	210101	210101	0	0	0	0	0	0	0	10	1	68
69	昆仑岭 第9关	0	101621	0	0	69	0	0	210101	210101	0	0	0	0	0	0	0	10	1	69
70	昆仑岭 第10关	2	101621	0	0	70	5114	14	210101	210101	0	0	0	0	0	0	0	10	1	70
71	昆仑岭 第11关	0	101621	0	0	71	0	0	210101	210101	0	0	0	0	0	0	0	10	1	71
72	昆仑岭 第12关	0	101621	0	0	72	0	0	210101	210101	0	0	0	0	0	0	0	10	1	72
73	昆仑岭 第13关	0	101621	0	0	73	0	0	210101	210101	0	0	0	0	0	0	0	10	1	73
74	昆仑岭 第14关	0	101621	0	0	74	0	0	210101	210101	0	0	0	0	0	0	0	10	1	74
75	昆仑岭 第15关	1	101621	0	0	75	5115	15	210101	210101	0	0	0	0	0	0	0	10	1	75
76	昆仑岭 第16关	0	101621	0	0	76	0	0	210101	210101	0	0	0	0	0	0	0	10	1	76
77	昆仑岭 第17关	0	101621	0	0	77	0	0	210101	210101	0	0	0	0	0	0	0	10	1	77
78	昆仑岭 第18关	0	101621	0	0	78	0	0	210101	210101	0	0	0	0	0	0	0	10	1	78
79	昆仑岭 第19关	0	101621	0	0	79	0	0	210101	210101	0	0	0	0	0	0	0	10	1	79
80	昆仑岭 第20关	2	101621	0	0	80	5116	16	210101	210101	0	0	0	0	0	0	0	10	1	80
81	北冥河 第1关	0	101621	0	0	81	0	0	210101	210101	0	0	0	0	0	0	0	10	1	81
82	北冥河 第2关	0	101621	0	0	82	0	0	210101	210101	0	0	0	0	0	0	0	10	1	82
83	北冥河 第3关	0	101621	0	0	83	0	0	210101	210101	0	0	0	0	0	0	0	10	1	83
84	北冥河 第4关	0	101621	0	0	84	0	0	210101	210101	0	0	0	0	0	0	0	10	1	84
85	北冥河 第5关	1	101621	0	0	85	5117	17	210101	210101	0	0	0	0	0	0	0	10	1	85
86	北冥河 第6关	0	101621	0	0	86	0	0	210101	210101	0	0	0	0	0	0	0	10	1	86
87	北冥河 第7关	0	101621	0	0	87	0	0	210101	210101	0	0	0	0	0	0	0	10	1	87
88	北冥河 第8关	0	101621	0	0	88	0	0	210101	210101	0	0	0	0	0	0	0	10	1	88
89	北冥河 第9关	0	101621	0	0	89	0	0	210101	210101	0	0	0	0	0	0	0	10	1	89
90	北冥河 第10关	2	101621	0	0	90	5118	18	210101	210101	0	0	0	0	0	0	0	10	1	90
91	北冥河 第11关	0	101621	0	0	91	0	0	210101	210101	0	0	0	0	0	0	0	10	1	91
92	北冥河 第12关	0	101621	0	0	92	0	0	210101	210101	0	0	0	0	0	0	0	10	1	92
93	北冥河 第13关	0	101621	0	0	93	0	0	210101	210101	0	0	0	0	0	0	0	10	1	93
94	北冥河 第14关	0	101621	0	0	94	0	0	210101	210101	0	0	0	0	0	0	0	10	1	94
95	北冥河 第15关	1	101621	0	0	95	5119	19	210101	210101	0	0	0	0	0	0	0	10	1	95
96	北冥河 第16关	0	101621	0	0	96	0	0	210101	210101	0	0	0	0	0	0	0	10	1	96
97	北冥河 第17关	0	101621	0	0	97	0	0	210101	210101	0	0	0	0	0	0	0	10	1	97
98	北冥河 第18关	0	101621	0	0	98	0	0	210101	210101	0	0	0	0	0	0	0	10	1	98
99	北冥河 第19关	0	101621	0	0	99	0	0	210101	210101	0	0	0	0	0	0	0	10	1	99
100	北冥河 第20关	2	101621	0	0	100	5120	20	210101	210101	0	0	0	0	0	0	0	10	1	100
