ID	Name	ItemType	LearnExp	CostTime	CostStrength	Exp_3_0	Exp_3_1	Exp_3_2	NeedItemId_6_0	NeedItemNum_6_0	NeedItemId_6_1	NeedItemNum_6_1	NeedItemId_6_2	NeedItemNum_6_2	NeedItemId_6_3	NeedItemNum_6_3	NeedItemId_6_4	NeedItemNum_6_4	NeedItemId_6_5	NeedItemNum_6_5	OutputItemId	OutputItemNum
16	次级召唤真符	真符	315	3	5	400	375	350	56002	1	56003	1	60004	1	0	0	0	0	0	0	80302	1
17	文曲符印	符印	350	2	3	425	400	375	56004	4	60013	1	60004	1	0	0	0	0	0	0	30004	1
18	次级复活真符	真符	375	3	5	425	415	400	56003	2	60004	1	0	0	0	0	0	0	0	0	80202	1
1001	虾饺	佳肴	1	3	5	70	60	40	53000	2	60001	1	0	0	0	0	0	0	0	0	81001	1
1002	熏肉	佳肴	20	3	5	90	80	60	60023	2	60001	1	0	0	0	0	0	0	0	0	81101	1
1003	虾仁汤圆	佳肴	40	3	5	110	100	80	53000	2	60001	1	0	0	0	0	0	0	0	0	81002	1
1004	炒鳝段	糕点	50	3	5	120	110	90	53100	1	60001	1	0	0	0	0	0	0	0	0	81301	1
1005	大块烤肉	佳肴	60	3	5	130	120	100	60023	2	60001	1	0	0	0	0	0	0	0	0	81102	1
1006	蒜蓉白鳝片	糕点	50	3	5	130	110	80	53100	2	60001	1	0	0	0	0	0	0	0	0	81401	1
1007	月清酒	美酒	80	3	5	140	130	120	51000	2	0	0	0	0	0	0	0	0	0	0	81201	1
1008	红烧鲈鱼	佳肴	100	3	5	170	160	140	53001	2	60001	1	0	0	0	0	0	0	0	0	81003	1
1009	煎狼肝	佳肴	120	3	5	190	180	160	60024	2	60001	1	0	0	0	0	0	0	0	0	81103	1
1010	生鲈鱼片	佳肴	140	3	5	210	200	180	53001	2	60001	1	0	0	0	0	0	0	0	0	81004	1
1011	螺丝大包	糕点	150	3	5	220	210	190	53101	1	60001	1	0	0	0	0	0	0	0	0	81302	1
1012	狼肝汤	佳肴	160	3	5	230	220	200	60024	2	60001	1	0	0	0	0	0	0	0	0	81104	1
1013	麻辣田螺	糕点	150	3	5	230	210	180	53101	2	60001	1	0	0	0	0	0	0	0	0	81402	1
1014	三蒸银苓酒	美酒	180	3	5	240	230	220	51001	2	0	0	0	0	0	0	0	0	0	0	81202	1
1015	烤紫皮鱼	佳肴	200	3	5	270	260	240	53002	2	60001	1	0	0	0	0	0	0	0	0	81005	1
1016	水晶古老肉	佳肴	220	3	5	290	280	260	60025	2	60001	1	0	0	0	0	0	0	0	0	81105	1
1017	烤鱼片	佳肴	240	3	5	310	300	280	53002	2	60001	1	0	0	0	0	0	0	0	0	81006	1
1018	醋鲤	糕点	250	3	5	320	310	290	53102	1	60001	1	0	0	0	0	0	0	0	0	81303	1
1019	爆炒肉排	佳肴	260	3	5	330	320	300	60025	2	60001	1	0	0	0	0	0	0	0	0	81106	1
1020	干烧骨鲤	糕点	250	3	5	330	310	280	53102	2	60001	1	0	0	0	0	0	0	0	0	81403	1
1021	紫米烧	美酒	280	3	5	340	330	320	51002	2	0	0	0	0	0	0	0	0	0	0	81203	1
2001	龙腾令牌	令牌	1	3	5	60	60	40	55100	5	0	0	0	0	0	0	0	0	0	0	28900	1
2002	龙腾指环	戒指	15	3	5	75	65	55	55100	2	54000	1	0	0	0	0	0	0	0	0	28700	1
2003	龙腾宝鉴	宝鉴	30	3	5	90	80	70	55100	5	0	0	0	0	0	0	0	0	0	0	28800	1
2004	龙腾护符	护符	45	3	5	105	95	85	55100	3	54000	1	0	0	0	0	0	0	0	0	28600	1
2005	龙腾战甲	战甲	60	4	5	120	110	100	55100	6	60036	2	0	0	0	0	0	0	0	0	28500	1
2006	龙腾巨斧	武器	1	6	5	130	120	100	55100	10	55100	1	0	0	0	0	0	0	0	0	28200	1
2007	龙腾法杖	武器	1	6	5	130	120	100	55100	10	55100	1	0	0	0	0	0	0	0	0	28100	1
2008	龙腾长弓	武器	1	6	5	130	120	100	55100	10	55100	1	0	0	0	0	0	0	0	0	28300	1
2009	龙腾战爪	武器	1	6	5	130	120	100	55100	10	55100	1	0	0	0	0	0	0	0	0	28400	1
2010	凤翔令牌	令牌	100	3	5	160	160	140	55101	6	0	0	0	0	0	0	0	0	0	0	28901	1
2011	凤翔指环	戒指	115	3	5	175	165	155	55101	3	54001	1	0	0	0	0	0	0	0	0	28701	1
2012	凤翔宝鉴	宝鉴	130	3	5	180	170	160	55101	6	0	0	0	0	0	0	0	0	0	0	28801	1
2013	凤翔护符	护符	145	3	5	190	180	170	55101	4	54001	1	0	0	0	0	0	0	0	0	28601	1
2014	凤翔战甲	战甲	160	4	5	200	190	180	55101	8	60037	2	0	0	0	0	0	0	0	0	28501	1
2015	凤翔巨斧	武器	100	6	5	220	180	160	55101	12	55101	1	0	0	0	0	0	0	0	0	28201	1
2016	凤翔法杖	武器	100	6	5	220	180	160	55101	12	55101	1	0	0	0	0	0	0	0	0	28101	1
2017	凤翔长弓	武器	100	6	5	220	180	160	55101	12	55101	1	0	0	0	0	0	0	0	0	28301	1
2018	凤翔战爪	武器	100	6	5	220	180	160	55101	12	55101	1	0	0	0	0	0	0	0	0	28401	1
2019	皓月令牌	令牌	200	3	5	260	260	240	55102	6	0	0	0	0	0	0	0	0	0	0	28902	1
2020	皓月指环	戒指	215	3	5	275	265	255	55102	3	54002	1	0	0	0	0	0	0	0	0	28702	1
2021	皓月宝鉴	宝鉴	230	3	5	280	270	260	55102	6	0	0	0	0	0	0	0	0	0	0	28802	1
2022	皓月护符	护符	245	3	5	290	280	270	55102	4	54002	1	0	0	0	0	0	0	0	0	28602	1
2023	皓月战甲	战甲	260	4	5	300	290	280	55102	8	60038	2	0	0	0	0	0	0	0	0	28502	1
2024	皓月巨斧	武器	200	6	5	320	280	260	55102	12	55102	1	0	0	0	0	0	0	0	0	28202	1
2025	皓月法杖	武器	200	6	5	320	280	260	55102	12	55102	1	0	0	0	0	0	0	0	0	28102	1
2026	皓月长弓	武器	200	6	5	320	280	260	55102	12	55102	1	0	0	0	0	0	0	0	0	28302	1
2027	皓月战爪	武器	200	6	5	320	280	260	55102	12	55102	1	0	0	0	0	0	0	0	0	28402	1
2028	日耀令牌	令牌	300	3	5	360	360	340	55103	6	0	0	0	0	0	0	0	0	0	0	28903	1
2029	日耀指环	戒指	315	3	5	375	365	355	55103	3	54003	1	0	0	0	0	0	0	0	0	28703	1
2030	日耀宝鉴	宝鉴	330	3	5	380	370	360	55103	6	0	0	0	0	0	0	0	0	0	0	28803	1
2031	日耀护符	护符	345	3	5	390	380	370	55103	4	54003	1	0	0	0	0	0	0	0	0	28603	1
2032	日耀战甲	战甲	360	4	5	400	390	380	55103	8	60038	2	0	0	0	0	0	0	0	0	28503	1
2033	日耀巨斧	武器	300	6	5	420	380	360	55103	12	55103	1	0	0	0	0	0	0	0	0	28203	1
2034	日耀法杖	武器	300	6	5	420	380	360	55103	12	55103	1	0	0	0	0	0	0	0	0	28103	1
2035	日耀长弓	武器	300	6	5	420	380	360	55103	12	55103	1	0	0	0	0	0	0	0	0	28303	1
2036	日耀战爪	武器	300	6	5	420	380	360	55103	12	55103	1	0	0	0	0	0	0	0	0	28403	1
