ID	Level	Kind	Name	NeedPlayerLevel	NeedExp	MaxExpLimit	AnimName	DefaultIcon	SelectIcon	RelativeID1	RelativeID2	Discription
3	4	0	勘探	80	500	900	25	12000460	12000459	6	6	成为一名矿工，探寻并挖掘土地中的矿石，矿石可用于制造各种武器装备。
3	5	0	勘探	100	800	1200	25	12000460	12000459	6	6	成为一名矿工，探寻并挖掘土地中的矿石，矿石可用于制造各种武器装备。
3	6	0	勘探	120	1100	1600	25	12000460	12000459	6	6	成为一名矿工，探寻并挖掘土地中的矿石，矿石可用于制造各种武器装备。
3	7	0	勘探	140	1500	2000	25	12000460	12000459	6	6	成为一名矿工，探寻并挖掘土地中的矿石，矿石可用于制造各种武器装备。
4	1	1	方术	20	0	200	0	12000452	12000451	1	3	成为一名方士，采天地灵气以炼化仙丹，驱鬼神之力以制作印符。
4	2	1	方术	40	100	400	0	12000452	12000451	1	3	成为一名方士，采天地灵气以炼化仙丹，驱鬼神之力以制作印符。
4	3	1	方术	60	300	600	0	12000452	12000451	1	3	成为一名方士，采天地灵气以炼化仙丹，驱鬼神之力以制作印符。
4	4	1	方术	80	500	900	0	12000452	12000451	1	3	成为一名方士，采天地灵气以炼化仙丹，驱鬼神之力以制作印符。
4	5	1	方术	100	800	1200	0	12000452	12000451	1	3	成为一名方士，采天地灵气以炼化仙丹，驱鬼神之力以制作印符。
4	6	1	方术	120	1100	1600	0	12000452	12000451	1	3	成为一名方士，采天地灵气以炼化仙丹，驱鬼神之力以制作印符。
4	7	1	方术	140	1500	2000	0	12000452	12000451	1	3	成为一名方士，采天地灵气以炼化仙丹，驱鬼神之力以制作印符。
5	1	1	厨艺	20	0	200	0	12000456	12000455	2	4	成为一名厨师，学会烹饪美味珍馐，酿造绝世美酒的技艺，以治口腹之欲。
5	2	1	厨艺	40	100	400	0	12000456	12000455	2	4	成为一名厨师，学会烹饪美味珍馐，酿造绝世美酒的技艺，以治口腹之欲。
5	3	1	厨艺	60	300	600	0	12000456	12000455	2	4	成为一名厨师，学会烹饪美味珍馐，酿造绝世美酒的技艺，以治口腹之欲。
5	4	1	厨艺	80	500	900	0	12000456	12000455	2	4	成为一名厨师，学会烹饪美味珍馐，酿造绝世美酒的技艺，以治口腹之欲。
5	5	1	厨艺	100	800	1200	0	12000456	12000455	2	4	成为一名厨师，学会烹饪美味珍馐，酿造绝世美酒的技艺，以治口腹之欲。
5	6	1	厨艺	120	1100	1600	0	12000456	12000455	2	4	成为一名厨师，学会烹饪美味珍馐，酿造绝世美酒的技艺，以治口腹之欲。
5	7	1	厨艺	140	1500	2000	0	12000456	12000455	2	4	成为一名厨师，学会烹饪美味珍馐，酿造绝世美酒的技艺，以治口腹之欲。
6	1	1	天工	20	0	200	0	12000454	12000453	3	6	成为一名工匠，施展天工的技艺制造出致命的武器和坚实的甲胄，
6	2	1	天工	40	100	400	0	12000454	12000453	3	6	成为一名工匠，施展天工的技艺制造出致命的武器和坚实的甲胄，
6	3	1	天工	60	300	600	0	12000454	12000453	3	6	成为一名工匠，施展天工的技艺制造出致命的武器和坚实的甲胄，
6	4	1	天工	80	500	900	0	12000454	12000453	3	6	成为一名工匠，施展天工的技艺制造出致命的武器和坚实的甲胄，
6	5	1	天工	100	800	1200	0	12000454	12000453	3	6	成为一名工匠，施展天工的技艺制造出致命的武器和坚实的甲胄，
6	6	1	天工	120	1100	1600	0	12000454	12000453	3	6	成为一名工匠，施展天工的技艺制造出致命的武器和坚实的甲胄，
6	7	1	天工	140	1500	2000	0	12000454	12000453	3	6	成为一名工匠，施展天工的技艺制造出致命的武器和坚实的甲胄，
