id	String
209	[link=1][linkdata=T(2)N({0})D({1})]{2}[link=0]向你发起挑战,你失败了,你的排名降至{3}.
210	[link=1][linkdata=T(2)N({0})D({1})]{2}[link=0]向你发起挑战,你失败了,你的排名保持不变.
211	[link=1][linkdata=T(2)N({0})D({1})]{2}[link=0]向你发起挑战,你胜利了，你的排名保持不变.
212	恭喜[link=1][linkdata=T(2)N({0})D({1})]{2}[link=0]在仙道会中取得首胜!
213	[link=1][linkdata=T(2)N({0})D({1})]{2}[link=0]大发神勇!在仙道会中取得{3}连胜!
214	[link=1][linkdata=T(2)N({0})D({1})]{2}[link=0]无人能挡!在仙道会中取得{3}连胜!
215	[link=1][linkdata=T(2)N({0})D({1})]{2}[link=0]超神了!在仙道会中取得了疯狂的{3}连胜!
216	[link=1][linkdata=T(2)N({0})D({1})]{2}[link=0]成功阻止了[link=1][linkdata=T(2)N({3})D({4})]{5}[link=0]的疯狂{6}连胜!
217	[link=1][linkdata=T(2)N({0})D({1})]{2}[link=0]打败了[link=1][linkdata=T(2)N({3})D({4})]{5}[link=0],成功登上了仙道会第一的宝座!
218	查看战斗
219	等级未达到开启条件
220	{0}天{1}小时{2}分钟后领取
221	{0}小时{1}分钟后领取
222	{0}分钟后领取
223	仙道会挑战失败!你的排名保持不变.
224	是否花费{0}元宝增加一次挑战次数
225	是否花费{0}元宝消除冷却
226	物品上架成功.
227	上架失败,不能发布非包裹中的物品.
228	上架失败,数量不足.
229	上架失败,此物品不能参与拍卖.
230	上架失败,发布的玩家数目已经达到最大值了.
231	上架失败,今天已经不能再上架物品了.
232	上架失败,拍卖物品已经达到最大数目了.
233	上架失败,拍卖系统上的物品已经达到最大数量了.
234	上架失败,找不到拍卖物品了.
235	上架失败,无法从您包裹中删除物品.
236	物品购买成功.
237	购买失败,购买数量不能为0.
238	购买失败,此物品已售完.
239	购买失败,您购买的物品数量不足,请刷新后重新购买.
240	购买失败,您的背包位不足,请清理.
241	购买失败,元宝不足.
242	下架成功.
243	下架失败,此物品不属于您.
244	下架失败,要下架的物品已被其他玩家购买.
245	下架失败,您的背包位不足,请清理.
246	购买了{0}*{1}，花费{2}
247	第{0}名
248	金钱:{0}\n声望:{1}
249	称号:{0}
250	物品:{0}
251	花{0}元宝增加一次挑战次数
252	魔君
253	青巫
254	风灵
255	该物品无法合成
256	[color=ffffff]合成需要[color=00ff00]{0}[color=ffffff]个物品
257	领取物品成功！
258	由于你是未成年人，您将被纳入防沉迷系统，累计游戏3小时被系统强制下线
259	您已累计在线1小时，请注意休息
260	您已累计在线2小时，请注意休息
261	您已累计在线3小时，倒计时结束后将自动下线
262	今日防沉迷时间已达上限
263	要删除的邮件中包含物品,是否删除?
264	你需要一把合适的钥匙才能打开噢
265	上架
266	体力:{0}/{1}，战斗会消耗你的体力.(每半小时恢复5点体力)
267	花费{0}元宝购买{1}点体力
268	你今天已经吃饱了，再吃就要变肥了
280	关卡等级：{0}
281	需要完成前置关卡才会开启
282	需要接取相关任务才会开启
283	BOSS:{0}
284	(普通)
285	(英雄)
286	(超级英雄)
287	(一般)
288	+{0}熟练
289	-{0}精力
290	你只能学习一个采集专长
291	你只能学习一个制造专长
292	需要等级
293	商人不收这件物品
294	你的铜钱不足，不能够买此物品
295	你的元宝不足，不能购买此物品
296	你的材料不足，无法购买此物品
297	商店物品相关预留begin
298	物品已售完
330	商店物品相关预留end
331	可提升你的攻击值、护甲值和抵挡值
332	可提升你的护甲值
333	可提升你的护甲值
334	可提升你的暴击值
335	可提升你的攻击值、暴击值和闪避值
336	可提升你的闪避值
337	可提升你的生命值
338	可提升你的术防值
339	可提升你的术防值
340	可提升你的攻击值，暴击值和术防值
341	可提升你所有魔将的基础属性值
342	你的最大生命值
343	提高你攻击时触发幸运效果的几率\n幸运效果可提升该次攻击所造成的伤害\n当前幸运率{0}%
344	提高你攻击后触发振奋效果的几率\n振奋效果可让你额外再攻击一次\n当前士气率{0}%
345	攻击越高，你所能造成的伤害就越高
346	可提升你攻击时的暴击几率\n当前暴击率{0}%
347	可降低你攻击时未命中的几率\n当前命中率{0}%
348	可降低你攻击时被闪避和抵挡的几率\n当前准确率{0}%
349	速度决定你在战斗中的出手顺序
350	降低你所受到的普通伤害
351	降低你所受到的术法伤害
352	提高你闪避攻击的几率\n当前闪避率{0}%
353	降低你被暴击的几率和被暴击的伤害\n当前韧性率{0}%
354	提高你抵挡攻击的几率\n成功抵挡可降低受到的伤害\n当前抵挡率{0}%
355	提高你受到攻击后出手反击的几率
356	提高你抵抗形体法术的几率
357	提高你反击的几率
358	提升至下一境界所需成长值为{0}
359	你的声望不足，无法购买此物品
400	进阶：
401	绝招：
402	生命值：
403	战斗力：
404	阶
405	级
406	(防御)
407	(攻击)
408	提示：防御能力较强，建议放在前方
409	提示：攻击能力较强，建议放在后方
410	提示：主角是团队核心，根据主角特性进行布阵
420	次
421	铜钱
422	声望
504	你使用了{0}
505	[color=00ff47]经验+{0}
506	[color=ffEC00]元宝+{0}
507	[color=ffEC00]铜币+{0}
508	请选择一件装备强化
509	装备已强化到最高等级
510	山海经
511	斩妖录
520	花费{0}元宝购买挑战次数.
521	花费{0}元宝清除冷却时间.
522	[color=ff3C1E]战斗力+{0}
530	斩妖录连斩奖励
531	获得声望:{0}
532	[color=00FFFF]技能点+{0}
533	斩杀成功获得:
534	已获得:
535	{0}神勇无比,在斩妖录中达成了{1}连斩!
536	{0}大展神威,在斩妖录中达成了{1}连斩!
537	{0}在斩妖录中达成了{1}连斩!妖魔见之无不望风披靡!
540	未通关本关卡,无法跳过
541	战斗加速
542	正常速度
550	(需要消耗{0}体力,{1})
700	恭喜获得打坐修炼经验{0}.
701	修炼中，累积经验{0}.
702	本次打坐修炼未累计经验
703	本次击杀机会需要支付元宝购买 确认购买么？
710	[color=fff337]第{0}名奖励            \n\n[color=febf02]奖励铜币:{1}\n[color=a1c6ed]奖励声望{2}\n\n{3}*{4}\n\n[color=f337f3]获得称号:{5}
711	需要花费{0}元宝进行加速
712	级
713	{0}:{1}级开启
714	完成{0}任务开启
715	申请
716	取消
717	踢出
718	帮主
719	长老
720	成员
721	您已在帮会中，不能创建帮会
722	金钱不足不能创建帮会
723	VIP等级不足今天已经不能再击杀了。
724	再充值{0}元宝即可成为VIP{1}
725	累积充值{0}元宝即可成为VIP{1}
726	更多VIP特权
727	元宝
728	返回
729	礼包
730	花费20元宝购买30体力
731	今天体力已购买完，升级成为VIP{0}每天可购买{1}次体力
732	推荐使用{0}系统提升战斗力
